HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
PL11.hmm	606	Athe_1853	833	3.2e-285	3	576	43	613	0.9455445544554455
CBM3.hmm	88	Athe_1853	833	1.6e-31	2	88	688	768	0.9772727272727273
CBM66.hmm	155	Athe_1854	460	7.2e-25	2	155	57	212	0.9870967741935484
PL3_1.hmm	173	Athe_1854	460	8.9e-73	3	172	274	442	0.976878612716763
CBM66.hmm	155	Athe_1855	653	1.4e-24	2	155	44	199	0.9870967741935484
PL9_1.hmm	375	Athe_1855	653	5e-146	5	374	271	647	0.984
GH10.hmm	303	Athe_1857	1478	3.8e-119	2	303	45	372	0.9933993399339934
CBM3.hmm	88	Athe_1857	1478	3.3e-31	2	88	437	517	0.9772727272727273
CBM3.hmm	88	Athe_1857	1478	3.3e-31	2	88	636	716	0.9772727272727273
GH48.hmm	611	Athe_1857	1478	2.9e-306	1	611	853	1474	0.9983633387888707
GH5_8.hmm	253	Athe_1859	1294	4.4e-98	10	251	53	294	0.9525691699604744
CBM3.hmm	88	Athe_1859	1294	2.8e-31	2	88	363	443	0.9772727272727273
CBM3.hmm	88	Athe_1859	1294	2.8e-31	2	88	574	654	0.9772727272727273
GH44.hmm	514	Athe_1859	1294	1.1e-208	3	512	770	1286	0.9902723735408561
GH74.hmm	233	Athe_1860	1904	9e-32	2	115	84	200	0.48497854077253216
GH74.hmm	233	Athe_1860	1904	4.5e-18	73	181	227	338	0.463519313304721
GH74.hmm	233	Athe_1860	1904	2.6e-18	10	118	494	598	0.463519313304721
GH74.hmm	233	Athe_1860	1904	3.8e-21	24	136	592	698	0.48068669527896996
CBM3.hmm	88	Athe_1860	1904	4.4e-31	2	88	841	921	0.9772727272727273
CBM3.hmm	88	Athe_1860	1904	4.4e-31	2	88	1062	1142	0.9772727272727273
GH48.hmm	611	Athe_1860	1904	5.1e-306	1	611	1279	1900	0.9983633387888707
GT39.hmm	223	Athe_1864	566	7.1e-47	19	218	166	372	0.8923766816143498
GH9.hmm	418	Athe_1865	1369	9.8e-140	1	418	42	460	0.9976076555023924
CBM3.hmm	88	Athe_1865	1369	2.6e-21	5	88	489	571	0.9431818181818182
CBM3.hmm	88	Athe_1865	1369	3e-31	2	88	704	784	0.9772727272727273
CBM3.hmm	88	Athe_1865	1369	3e-31	2	88	915	995	0.9772727272727273
GH5_8.hmm	253	Athe_1865	1369	4.7e-98	10	251	1098	1339	0.9525691699604744
GH5_8.hmm	253	Athe_1866	1414	5e-98	10	251	53	294	0.9525691699604744
CBM3.hmm	88	Athe_1866	1414	3.1e-31	2	88	389	469	0.9772727272727273
CBM3.hmm	88	Athe_1866	1414	3.1e-31	2	88	590	670	0.9772727272727273
CBM3.hmm	88	Athe_1866	1414	3.1e-31	2	88	791	871	0.9772727272727273
GH5_1.hmm	310	Athe_1866	1414	6.4e-128	1	310	1014	1351	0.9967741935483871
GH9.hmm	418	Athe_1867	1759	6.1e-144	1	418	36	466	0.9976076555023924
CBM3.hmm	88	Athe_1867	1759	6.1e-26	1	88	491	576	0.9886363636363636
CBM3.hmm	88	Athe_1867	1759	4e-31	2	88	724	804	0.9772727272727273
CBM3.hmm	88	Athe_1867	1759	4e-31	2	88	923	1003	0.9772727272727273
GH48.hmm	611	Athe_1867	1759	4.3e-306	1	611	1134	1755	0.9983633387888707
