CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	CAZyme	JABDHV010000033	HHJ01_10850	736	1218	-	CBM50
CGC1	null	JABDHV010000033	HHJ01_10855;Parent	1287	2102	-	null
CGC1	null	JABDHV010000033	HHJ01_10860;Parent	2227	3294	+	null
CGC1	CAZyme	JABDHV010000033	HHJ01_10865	3437	7237	+	GH2|CBM32
CGC1	null	JABDHV010000033	HHJ01_10870;Parent	7586	8278	-	null
CGC1	null	JABDHV010000033	HHJ01_10875;Parent	8291	9295	-	null
CGC1	CAZyme	JABDHV010000033	HHJ01_10880	9406	10821	-	GH29
CGC1	CAZyme	JABDHV010000033	HHJ01_10885	11167	13524	-	GH33
CGC1	null	JABDHV010000033	HHJ01_10890;Parent	13406	14308	-	null
CGC1	STP	JABDHV010000033	HHJ01_10895	14503	17181	+	HisKA|HATPase_c
CGC1	TF	JABDHV010000033	HHJ01_10900	17201	17899	+	Trans_reg_C
CGC1	TC	JABDHV010000033	HHJ01_10905	18050	18829	+	1.B.71.1.5
CGC1	TC	JABDHV010000033	HHJ01_10910	18947	20647	+	3.A.3.7.2
CGC1	TC	JABDHV010000033	HHJ01_10915	20681	22792	+	3.A.3.7.2
CGC1	TC	JABDHV010000033	HHJ01_10920	22822	23388	+	3.A.3.7.2
CGC1	CAZyme	JABDHV010000033	HHJ01_10925	23538	25139	-	GH27
CGC1	TC	JABDHV010000033	HHJ01_10930	25312	27894	+	3.A.9.1.2
