HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CE2.hmm	209	P164_RS15845	360	1.9e-47	2	209	147	353	0.9904306220095693
CE20.hmm	249	P164_RS15850	460	2.6e-98	3	248	103	351	0.9839357429718876
GH3.hmm	216	P164_RS15855	740	1.1e-66	3	215	81	302	0.9814814814814815
GH5_7.hmm	289	P164_RS15860	435	4.9e-92	2	289	69	382	0.9930795847750865
GH26.hmm	303	P164_RS15865	415	2.5e-65	1	274	54	370	0.900990099009901
GH130_1.hmm	313	P164_RS15875	401	3.2e-173	1	313	59	370	0.9968051118210862
GH26.hmm	303	P164_RS15885	345	7.3e-68	2	255	5	286	0.834983498349835
GH5_2.hmm	237	P164_RS15895	318	7.5e-105	2	237	42	276	0.9915611814345991
CBM8.hmm	143	P164_RS15910	350	7.5e-19	2	142	214	347	0.9790209790209791
GH27.hmm	229	P164_RS15915	403	2.9e-88	3	228	126	379	0.982532751091703
GH9.hmm	418	P164_RS15925	831	2e-31	11	360	382	766	0.8349282296650717
GH26.hmm	303	P164_RS15930	325	3.4e-87	1	303	22	322	0.9966996699669967
