Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
P164_RS15845	AVR44608.1|CE2	58.3	357	148	1	1	357	1	356	4.82e-158	452
P164_RS15850	AVR44607.1|CE20	62.4	457	168	3	4	460	25	477	1.34e-212	599
P164_RS15855	WBL27428.1|GH3	70.7	738	216	0	3	740	2	739	0.0	1077
P164_RS15860	AVR44605.1|GH5_7	86.4	405	55	0	26	430	21	425	1.72e-273	751
P164_RS15865	AVR44604.1|GH26	70.8	418	103	2	11	413	12	425	2.80e-216	605
P164_RS15875	AVR44603.1|GH130	78.6	397	84	1	1	397	1	396	9.33e-244	672
P164_RS15885	AVR44601.1|GH26	64.3	345	123	0	1	345	31	375	9.87e-177	499
P164_RS15895	AVR44599.1|GH5_2	61.8	293	112	0	23	315	24	316	1.11e-139	402
P164_RS15900	AST56160.1|GH35	31.0	874	517	24	258	1061	714	1571	9.17e-114	391
P164_RS15915	UAB85033.1|GH27	74.4	383	98	0	21	403	20	402	1.29e-238	660
P164_RS15925	BBE15991.1|GH0	36.6	879	474	14	6	829	7	857	3.16e-192	576
P164_RS15930	AVR44591.1|GH26	70.2	325	96	1	1	324	1	325	1.21e-181	509
P164_RS15935	QNE42320.1|GH0	41.7	645	368	6	11	650	1	642	3.06e-184	543
