Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
P164_RS15845	-	CE2(147-353)	CE2_e28	CE2	3
P164_RS15850	-	CE20(103-351)	CE20_e28	CE20	3
P164_RS15855	3.2.1.21:20|3.2.1.-:6	GH3(81-302)	GH3_e1	GH3	3
P164_RS15860	-	GH5_7(69-382)	GH5_e186	GH5_7	3
P164_RS15865	-	GH26(54-370)	GH26_e67	GH26	3
P164_RS15875	2.4.1.281:5	GH130_1(59-370)	GH130_e6	GH130	3
P164_RS15885	-	GH26(5-286)	GH26_e78	GH26	3
P164_RS15895	3.2.1.4:1	GH5_2(42-276)	GH5_e42	GH5_2	3
P164_RS15910	-	CBM8(214-347)	CBM8_e2	-	2
P164_RS15915	-	GH27(126-379)	GH27_e32	GH27	3
P164_RS15925	-	GH9(382-766)	-	GH0	2
P164_RS15930	-	GH26(22-322)	GH26_e109	GH26	3
P164_RS15900	-	-	-	GH35	1
P164_RS15935	-	-	-	GH0	1
