CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	CAZyme	NZ_BLYL01000009	JMF79_RS08415	1098	2555	-	GH32| GH32
CGC1	null	NZ_BLYL01000009	JMF79_RS08420	2578	2751	-	null
CGC1	TC	NZ_BLYL01000009	JMF79_RS08425	2834	3508	-	3.A.2.2.2
CGC1	TC	NZ_BLYL01000009	JMF79_RS08430	3788	5158	-	3.A.2.2.2
CGC1	TC	NZ_BLYL01000009	JMF79_RS08435	5163	6926	-	3.A.2.3.2
CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	CAZyme	NZ_BLYL01000009	JMF79_RS08415	1098	2555	-	GH32
CGC1	null	NZ_BLYL01000009	JMF79_RS08420;Parent	2578	2751	-	null
CGC1	TC	NZ_BLYL01000009	JMF79_RS08425	2834	3508	-	3.A.2.2.2
CGC1	TC	NZ_BLYL01000009	JMF79_RS08430	3788	5158	-	3.A.2.2.2
CGC1	TC	NZ_BLYL01000009	JMF79_RS08435	5163	6926	-	3.A.2.3.2
