Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
GRFL_2158	APU68882.1|CE8	100	1820	0	0	1	1820	1	1820	0.0	3535
GRFL_2159	APU68883.1|PL9_1	100	616	0	0	1	616	1	616	0.0	1237
GRFL_2174	APU68898.1|GH28	100	467	0	0	1	467	1	467	0.0	951
GRFL_2176	APU68900.1|GH105	100	415	0	0	1	415	1	415	1.95e-310	842
GRFL_2177	APU68901.1|GH43_10	100	543	0	0	1	543	1	543	0.0	1154
GRFL_2178	APU68902.1|GH28|PL9_1	100	932	0	0	1	932	1	932	0.0	1853
GRFL_2179	APU68903.1|CE12	100	266	0	0	1	266	1	266	8.86e-200	550
GRFL_2180	APU68904.1|CE8	100	638	0	0	1	638	1	638	0.0	1300
GRFL_2181	APU68905.1|CE12	100	266	0	0	1	266	1	266	7.59e-201	553
GRFL_2182	APU68906.1|PL10_1	100	360	0	0	1	360	1	360	1.27e-269	734
