HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH106.hmm	824	BT_4145	924	0	3	823	20	914	0.9951456310679612
GH28.hmm	325	BT_4146	467	1.6e-66	7	309	48	395	0.9292307692307692
GH28.hmm	325	BT_4149	352	5.2e-53	6	223	83	341	0.6676923076923077
CE12.hmm	210	BT_4150	412	1.1e-74	1	209	163	367	0.9904761904761905
GH2.hmm	752	BT_4151	958	2e-72	26	533	21	699	0.6742021276595744
GH43_18.hmm	229	BT_4152	986	1.3e-91	2	229	60	294	0.9912663755458515
GH42.hmm	371	BT_4152	986	1.8e-125	2	370	333	707	0.9919137466307277
GH28.hmm	325	BT_4153	432	1e-58	10	310	75	418	0.9230769230769231
CE4.hmm	130	BT_4154	322	7.9e-31	6	120	33	159	0.8769230769230769
GH28.hmm	325	BT_4155	448	6.4e-72	3	322	62	439	0.9815384615384616
GH2.hmm	752	BT_4156	961	2.6e-123	33	623	43	724	0.7845744680851063
GH27.hmm	229	BT_4157	606	2.4e-68	4	229	212	447	0.982532751091703
GH35.hmm	307	BT_4160	698	7.6e-84	1	305	44	400	0.990228013029316
PL9.hmm	374	BT_4170	535	1.2e-107	9	370	20	440	0.9652406417112299
PL26.hmm	862	BT_4172	1098	0	2	858	239	1094	0.9930394431554525
CE12.hmm	210	BT_4173	524	1.6e-54	2	210	46	265	0.9904761904761905
CE12.hmm	210	BT_4173	524	9.5e-64	2	210	297	512	0.9904761904761905
GH105.hmm	332	BT_4174	386	4.7e-87	10	310	61	354	0.9036144578313253
PL11_1.hmm	583	BT_4175	613	2.5e-273	3	573	30	600	0.9777015437392796
GH105.hmm	332	BT_4176	465	1.6e-93	10	332	97	432	0.9698795180722891
CE4.hmm	130	BT_4179	541	6.7e-29	10	119	261	380	0.8384615384615385
CE6.hmm	99	BT_4180	267	1.2e-29	1	99	91	183	0.98989898989899
GH2.hmm	752	BT_4181	989	2.2e-67	23	506	21	602	0.6422872340425532
PL9_1.hmm	375	BT_4183	454	2.8e-118	4	374	20	423	0.9866666666666667
