Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
BT_4145	3.2.1.174:1	GH106(20-914)	GH106_e0	GH106+3.2.1.174	3
BT_4146	3.2.1.173:1	GH28(48-395)	GH28_e34	GH28	3
BT_4149	3.2.1.173:1	GH28(83-341)	GH28_e139	GH28+3.2.1.173	3
BT_4150	-	CE12(163-367)	CE12_e37	CE12	3
BT_4151	3.2.1.23:1	GH2(21-699)	GH2_e125	GH2+3.2.1.23	3
BT_4152	3.2.1.55:2|-	GH43_18(60-294)+GH42(333-707)	GH43_e84+GH42_e27	GH42+GH43_18	3
BT_4153	3.2.1.173:1	GH28(75-418)	GH28_e117	GH28	3
BT_4154	3.5.1.41:1	CE4(33-159)	CE4_e46	CE12	3
BT_4155	3.2.1.67:1	GH28(62-439)	GH28_e133	GH28+3.2.1.67	3
BT_4156	3.2.1.-:1|3.2.1.23:1	GH2(43-724)	GH2_e106	GH2+3.2.1.23	3
BT_4157	3.2.1.22:1|3.2.1.22:1	GH27(212-447)	GH27_e3+CBM35_e26	CBM35+GH27	3
BT_4160	3.2.1.23:1	GH35(44-400)	GH35_e15	GH35+3.2.1.23	3
BT_4170	4.2.2.23:2	PL9(20-440)	PL9_e24	PL9_1	3
BT_4172	4.2.2.24:1	PL26(239-1094)	PL26_e0	PL26	3
BT_4173	-|-	CE12(46-265)+CE12(297-512)	CE12_e36+CE12_e36	CE12	3
BT_4174	3.2.1.172:1	GH105(61-354)	GH105_e17	GH105+3.2.1.172	3
BT_4175	4.2.2.23:15|4.2.2.24:5	PL11_1(30-600)	PL11_e0	PL11_1	3
BT_4176	3.2.1.172:1	GH105(97-432)	GH105_e7	GH105	3
BT_4179	-	CE4(261-380)	CE4_e17	CE12	3
BT_4180	-	CE6(91-183)	CE20_e26	CE6	3
BT_4181	3.2.1.31:2	GH2(21-602)	GH2_e41	GH2	3
BT_4183	4.2.2.23:2	PL9_1(20-423)	PL9_e24	PL9_1	3
BT_4159	-	-	-	GH97	1
