PUL#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
PUL0645	TF	NZ_JH992941	HMPREF9447_RS12390	1	4089	-	HTH_AraC
PUL0645	CAZyme	NZ_JH992941	HMPREF9447_RS12395	4128	5459	-	GH43_2+CBM6
PUL0645	CAZyme	NZ_JH992941	HMPREF9447_RS12400	5559	8147	-	GH3
PUL0645	CAZyme	NZ_JH992941	HMPREF9447_RS12405	8199	9251	-	GH43_17
PUL0645	CDS	NZ_JH992941	HMPREF9447_RS12410	9301	9609	-	null
PUL0645	CAZyme	NZ_JH992941	HMPREF9447_RS12415	9716	11167	-	GH43_7+GH43_7
PUL0645	CDS	NZ_JH992941	HMPREF9447_RS12420	11170	11868	-	null
PUL0645	CAZyme	NZ_JH992941	HMPREF9447_RS12425	11897	13054	-	CE1
PUL0645	CDS	NZ_JH992941	HMPREF9447_RS12430	13109	14908	-	null
PUL0645	TC	NZ_JH992941	HMPREF9447_RS12435	14929	18105	-	1.B.14.6.1
