PUL#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
PUL0617	CAZyme	JABKKG010000005	HPS57_08475	1	1929	-	GH67
PUL0617	CDS	JABKKG010000005	HPS57_08480	2116	3312	+	null
PUL0617	TC	JABKKG010000005	HPS57_08485	3403	4809	+	2.A.2.3.2
PUL0617	CAZyme	JABKKG010000005	HPS57_08490	4806	5933	+	GH10
PUL0617	CAZyme	JABKKG010000005	HPS57_08495	6047	7018	+	GH43_1
PUL0617	CAZyme	JABKKG010000005	HPS57_08500	7315	9384	-	GH43_35
PUL0617	CDS	JABKKG010000005	HPS57_08505	9579	10517	-	null
PUL0617	CAZyme	JABKKG010000005	HPS57_08510	10546	11811	-	GH5_21
PUL0617	CAZyme	JABKKG010000005	HPS57_08515	11946	14096	-	GH10
PUL0617	CDS	JABKKG010000005	HPS57_08520	14113	15123	-	null
PUL0617	CDS	JABKKG010000005	HPS57_08525	15190	16992	-	null
PUL0617	CDS	JABKKG010000005	HPS57_08530	17034	19886	-	null
PUL0617	CDS	JABKKG010000005	HPS57_08535	20016	21965	-	null
PUL0617	TC	JABKKG010000005	HPS57_08540	21998	25099	-	1.B.14.6.1
