dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH43_e229	CBM6:49|GH43_2:49|GH8:5|GH43:1	-	-	273	BACCELL_RS09480	443	2.1e-156	1	273	32	301	0.9963369963369964	0.9963369963369964
CBM6_e71	CBM6:55|GH43_2:53|GH8:5|GH43:2	-	beta-glucan, xylan, cellulose	99	BACCELL_RS09480	443	1e-40	2	99	346	443	0.9797979797979798	0.9797979797979798
GH3_e0	GH3:1894|GH67:1|CBM6:1|CBM32:1	3.2.1.37:92|3.2.1.55:39|3.2.1.21:1|3.2.1.6:1|3.2.1.73:1	xylan, arabinan, beta-glucan, beta-glucan	251	BACCELL_RS09485	885	1.7e-113	3	246	55	303	0.9681274900398407	0.9681274900398407
GH43_e193	GH43_17:9	-	-	283	BACCELL_RS09490	352	1.4e-125	1	281	51	321	0.9893992932862191	0.9893992932862191
CBM48_e68	CBM48:192|CE0:190|CE6:12|GH10:3|CE1:2|GH62:1	3.1.1.73:1|3.2.1.55:1|3.2.1.8:1	glycogen	61	BACCELL_RS09495	384	4.1e-29	2	61	52	110	0.9672131147540983	0.9672131147540983
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	BACCELL_RS09495	384	6e-80	2	206	159	379	0.9902912621359223	0.9902912621359223
CBM48_e68	CBM48:192|CE0:190|CE6:12|GH10:3|CE1:2|GH62:1	3.1.1.73:1|3.2.1.55:1|3.2.1.8:1	glycogen	61	BACCELL_RS09500	388	2.3e-24	2	60	52	109	0.9508196721311475	0.9508196721311475
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	BACCELL_RS09500	388	4.9e-69	3	206	161	383	0.9854368932038835	0.9854368932038835
GH9_e1	GH9:708|CBM4:367|CBM2:150|CBM10:15|CBM3:10|CBM37:10|CBM32:3|CBM30:2|GH3:1|CBM5:1|CBM9:1	3.2.1.4:19|3.2.1.91:5|3.2.1.73:3|3.2.1.-:2	cellulose, cellulose, beta-glucan, beta-glucan	463	BACCELL_RS09510	834	3.8e-21	63	387	434	770	0.6997840172786177	0.6997840172786177
GH43_e167	CBM13:44|GH43_7:43|GH43:2	-	-	239	BACCELL_RS09525	483	6e-119	1	239	31	301	0.99581589958159	0.99581589958159
CBM13_e223	CBM13:44|GH43_7:43|GH43:1	-	xylan	114	BACCELL_RS09525	483	1.5e-64	1	114	368	481	0.9912280701754386	0.9912280701754386
CBM48_e68	CBM48:192|CE0:190|CE6:12|GH10:3|CE1:2|GH62:1	3.1.1.73:1|3.2.1.55:1|3.2.1.8:1	glycogen	61	BACCELL_RS09535	410	2.8e-24	1	60	50	107	0.9672131147540983	0.9672131147540983
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	BACCELL_RS09535	410	1.9e-63	3	205	158	377	0.9805825242718447	0.9805825242718447
