PUL#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
PUL0624	CAZyme	JABKKF010000001	HPS56_01555	1	1143	+	GH43_24
PUL0624	CDS	JABKKF010000001	HPS56_01560	1612	5211	+	null
PUL0624	CAZyme	JABKKF010000001	HPS56_01565	5310	9560	+	GH51+GH43_19
PUL0624	CDS	JABKKF010000001	HPS56_01570	9576	12287	+	null
PUL0624	TC	JABKKF010000001	HPS56_01575	12364	15657	+	1.B.14.6.1
PUL0624	TC	JABKKF010000001	HPS56_01580	15673	17397	+	8.A.46.1.4
PUL0624	CDS	JABKKF010000001	HPS56_01585	17434	19506	+	null
PUL0624	CDS	JABKKF010000001	HPS56_01590	19531	21225	+	null
PUL0624	TC	JABKKF010000001	HPS56_01595	21259	24543	+	1.B.14.6.1
PUL0624	CDS	JABKKF010000001	HPS56_01600	24565	26331	+	null
PUL0624	CAZyme	JABKKF010000001	HPS56_01605	26372	30040	+	GH128
