Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
CAWLDL010000001_1	QDS99756.1|GH29	73.1	424	113	1	41	463	47	470	1.88e-246	685
CAWLDL010000001_3	QDU89850.1|GH29	80.0	245	49	0	49	293	22	266	2.49e-161	463
CAWLDL010000001_4	QDV84702.1|GH141	72.0	510	143	0	1	510	211	720	1.37e-283	791
CAWLDL010000001_12	UBM36931.1|GH29	73.1	594	145	2	2	595	5	583	0.0	941
CAWLDL010000001_13	QDU36023.1|CBM38	49.8	466	218	6	85	536	35	498	1.50e-150	452
CAWLDL010000001_14	QDU87912.1|GH29	59.4	571	223	3	1	563	50	619	9.42e-249	701
CAWLDL010000001_17	SPS73666.1|GH117	61.8	468	168	5	30	495	326	784	3.49e-207	598
CAWLDL010000001_18	QDV84698.1|CBM38	65.9	499	166	1	42	536	25	523	3.87e-246	697
CAWLDL010000001_20	UBM36931.1|GH29	43.4	603	297	13	10	581	29	618	2.38e-164	502
CAWLDL010000001_22	QDU90762.1|GH29	72.6	468	126	1	12	479	38	503	1.18e-261	726
CAWLDL010000001_23	QDV87241.1|GH29	71.2	566	163	0	9	574	26	591	0.0	886
