Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
CAWLDL010000001_1	-	GH29(30-360)	GH29_e26	GH29	3
CAWLDL010000001_14	-	GH29(122-464)	GH29_e45	GH29	3
CAWLDL010000001_21	-	GH168(87-376)	GH168_e2	-	2
CAWLDL010000001_22	-	GH29(37-380)	GH29_e45	GH29	3
CAWLDL010000001_23	3.2.1.51:2	GH29(25-342)	GH29_e29	GH29	3
CAWLDL010000001_3	-	GH29(33-279)	GH29_e22	GH29	3
CAWLDL010000001_4	-	GH141(31-352)	GH141_e20	GH141	3
CAWLDL010000001_12	-	-	-	GH29	1
CAWLDL010000001_13	-	-	-	CBM38	1
CAWLDL010000001_17	-	-	-	GH117	1
CAWLDL010000001_18	-	-	-	CBM38	1
CAWLDL010000001_20	-	-	-	GH29	1
