Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
BACOVA_03417	3.2.1.55:1|-	GH43_10(30-299)+CBM91(325-528)	GH43_e82+CBM91_e4	GH43_10	3
BACOVA_03419	3.2.1.37:92|3.2.1.55:39|3.2.1.21:1|3.2.1.6:1|3.2.1.73:1	GH3(59-304)	GH3_e0	GH3	3
BACOVA_03421	3.2.1.55:7|3.2.1.8:1|-	GH43_12(65-359)+CBM91(395-574)	GH43_e124+CBM91_e46	GH43_12	3
BACOVA_03422	3.2.1.177:4	GH31_4(217-713)	GH31_e94	GH31	3
BACOVA_03423	3.2.1.22:1|3.2.1.88:1	GH97(31-664)	GH97_e18	GH97	3
BACOVA_03424	3.2.1.37:2|3.2.1.55:2|3.2.1.8:1|3.2.1.8:1|3.2.1.37:1|3.2.1.55:1	GH43_29(25-297)+CBM6(321-443)	GH43_e59+CBM6_e0	CBM6+GH43_29	3
BACOVA_03425	3.2.1.55:7|3.2.1.8:1|-	GH43_12(93-388)+CBM91(421-599)	GH43_e124+CBM91_e46	GH43_12+3.2.1.55	3
BACOVA_03432	-	GH30_8(137-501)	GH30_e5	GH30_8	3
BACOVA_03433	3.2.1.8:2|3.2.1.8:2	GH98(234-554)+CBM35(839-942)	GH98_e0+CBM35_e1	CBM35+GH98	3
BACOVA_03434	3.2.1.131:6	GH115(43-823)	GH115_e0	GH115	3
BACOVA_03435	3.1.1.72:6|3.1.1.73:2|3.1.1.72:2|3.1.1.73:1|-	CE6(87-197)+CE1(406-634)	CE6_e2+CBM48_e9+CE1_e22	CBM48+CE0+CE6+3.1.1.72+3.1.1.73	3
BACOVA_03436	3.2.1.37:2|3.2.1.55:2|3.2.1.8:1|3.2.1.8:1|3.2.1.37:1|3.2.1.55:1	GH43_29(27-314)+CBM6(336-462)	GH43_e59+CBM6_e0	CBM6+GH43_29	3
BACOVA_03438	3.2.1.-:3|3.2.1.63:2	GH95(20-743)	GH95_e1	GH95	3
BACOVA_03442	-	GH30(44-498)	GH30_e45	GH30	3
BACOVA_03449	3.2.1.131:6	GH115(42-832)	GH115_e0	GH115+3.2.1.131	3
BACOVA_03450	-	CE20(97-223)+CE20(402-527)	CE20_e20	CE20	3
BACOVA_03431	-	-	GH10_e62	GH10	2
