Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
JOP69_RS09760	QVY64065.1|GH43_1	100	345	0	0	1	345	1	345	2.96e-265	722
JOP69_RS09765	UQY85893.1|GH43_1	53.6	483	205	3	6	470	4	485	1.15e-179	528
JOP69_RS09770	QVY64067.1|GH10	100	382	0	0	1	382	1	382	9.24e-290	787
JOP69_RS09805	QVY64072.1|GH10	100	400	0	0	1	400	1	400	8.79e-304	824
JOP69_RS09840	QVY64079.1|GH26	100	338	0	0	1	338	1	338	1.64e-263	717
JOP69_RS09845	QVY64080.1|GH43_12	100	555	0	0	1	555	1	555	0.0	1150
JOP69_RS09850	QVY64081.1|GH10	100	361	0	0	1	361	1	361	6.79e-270	735
JOP69_RS09855	QVY64082.1|GH10	100	451	0	0	1	451	1	451	0.0	912
JOP69_RS09860	QVY64083.1|CBM4	100	415	0	0	1	415	1	415	7.31e-306	831
JOP69_RS09870	AST56160.1|GH35	31.5	886	473	30	216	995	714	1571	3.37e-104	362
JOP69_RS09875	QVY64086.1|GH3	100	885	0	0	1	885	1	885	0.0	1778
JOP69_RS09885	AXT56154.1|CBM6	40.4	976	489	25	28	944	25	966	4.09e-220	671
