dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH43_e53	GH43_1:1254|GH43_10:16|GH5_21:6|CBM6:5|GH43:4|GH10:3|GH43_33:2|GH43_32:2|GH43_34:1|GH43_29:1|GH117:1	3.2.1.37:19|3.2.1.55:4	xylan, xylan	310	JOP69_RS09760	345	9.1e-159	1	310	23	338	0.9967741935483871	0.9967741935483871
GH10_e20	GH10:67	3.2.1.8:2	xylan	337	JOP69_RS09770	382	3.3e-171	1	336	37	376	0.9940652818991098	0.9940652818991098
GH10_e125	GH10:236	3.2.1.-:1	xylan	349	JOP69_RS09805	400	1.7e-199	1	348	46	393	0.994269340974212	0.994269340974212
GH26_e26	GH26:11	-	-	167	JOP69_RS09840	338	2.4e-87	1	166	130	301	0.9880239520958084	0.9880239520958084
GH43_e267	GH43_12:61|GH43:1	-	-	292	JOP69_RS09845	555	8.9e-159	1	292	37	328	0.9965753424657534	0.9965753424657534
CBM91_e29	CBM91:53|GH43_12:53	-	xylan	196	JOP69_RS09845	555	1.2e-76	3	192	365	550	0.9642857142857143	0.9642857142857143
GH10_e39	GH10:11	-	-	324	JOP69_RS09850	361	3.7e-190	1	324	35	358	0.9969135802469136	0.9969135802469136
GH10_e142	GH10:12	-	-	313	JOP69_RS09855	451	9e-182	1	313	138	449	0.9968051118210862	0.9968051118210862
CBM4_e16	CBM4:6	-	xylan, beta-glucan	120	JOP69_RS09860	415	6.2e-55	1	120	125	242	0.9916666666666667	0.9916666666666667
CBM4_e16	CBM4:6	-	xylan, beta-glucan	120	JOP69_RS09860	415	1.4e-57	1	120	276	394	0.9916666666666667	0.9916666666666667
GH3_e0	GH3:1894|GH67:1|CBM6:1|CBM32:1	3.2.1.37:92|3.2.1.55:39|3.2.1.21:1|3.2.1.6:1|3.2.1.73:1	xylan, arabinan, beta-glucan, beta-glucan	251	JOP69_RS09875	885	9.1e-127	4	245	74	319	0.9601593625498008	0.9601593625498008
