CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	CAZyme	NZ_CP074436	JOP69_RS09760	1	1038	-	GH43_1
CGC1	TC	NZ_CP074436	JOP69_RS09765	1050	2468	-	2.A.2.3.4
CGC1	CAZyme	NZ_CP074436	JOP69_RS09770	2481	3629	-	GH10
CGC1	null	NZ_CP074436	JOP69_RS09775;Parent	3860	4912	-	null
CGC1	null	NZ_CP074436	JOP69_RS09780;Parent	4919	5686	-	null
CGC1	null	NZ_CP074436	JOP69_RS09785;Parent	5863	7005	-	null
CGC1	TC	NZ_CP074436	JOP69_RS09790	7793	8392	-	9.B.107.1.4
CGC1	null	NZ_CP074436	JOP69_RS09795;Parent	8602	9294	-	null
CGC1	TF	NZ_CP074436	JOP69_RS09800	9372	9788	+	DUF24
CGC1	CAZyme	NZ_CP074436	JOP69_RS09805	9995	11197	-	GH10
CGC1	null	NZ_CP074436	JOP69_RS09810;Parent	11220	12164	-	null
CGC1	null	NZ_CP074436	JOP69_RS09815;Parent	12176	13345	-	null
CGC1	null	NZ_CP074436	JOP69_RS09820;Parent	13436	13840	-	null
CGC1	null	NZ_CP074436	JOP69_RS09825;Parent	14003	15400	-	null
CGC1	null	NZ_CP074436	JOP69_RS09830;Parent	15618	16355	-	null
CGC1	null	NZ_CP074436	JOP69_RS09835;Parent	16381	17661	-	null
CGC1	CAZyme	NZ_CP074436	JOP69_RS09840	17668	18684	-	GH26
CGC1	CAZyme	NZ_CP074436	JOP69_RS09845	18774	20441	-	GH43_12|CBM91
CGC1	CAZyme	NZ_CP074436	JOP69_RS09850	20453	21538	-	GH10
CGC1	CAZyme	NZ_CP074436	JOP69_RS09855	21651	23006	-	GH10
CGC1	CAZyme	NZ_CP074436	JOP69_RS09860	23040	24287	-	CBM4|CBM4
CGC1	TC	NZ_CP074436	JOP69_RS09865	24477	25967	-	8.A.46.1.3
CGC1	TC	NZ_CP074436	JOP69_RS09870	25981	28968	-	1.B.14.6.1
CGC1	CAZyme	NZ_CP074436	JOP69_RS09875	29021	31678	-	GH3
