Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
JOP69_RS09760	3.2.1.37:19|3.2.1.55:4	GH43_1(22-337)	GH43_e53	GH43_1	3
JOP69_RS09770	3.2.1.8:2	GH10(36-375)	GH10_e20	GH10	3
JOP69_RS09785	-	GH179(73-231)	-	-	1
JOP69_RS09805	3.2.1.-:1	GH10(45-393)	GH10_e125	GH10	3
JOP69_RS09840	-	GH26(129-302)	GH26_e26	GH26	3
JOP69_RS09845	-|-	GH43_12(36-327)+CBM91(360-554)	GH43_e267+CBM91_e29	GH43_12	3
JOP69_RS09850	-	GH10(35-357)	GH10_e39	GH10	3
JOP69_RS09855	-	GH10(136-447)	GH10_e142	GH10	3
JOP69_RS09875	3.2.1.37:92|3.2.1.55:39|3.2.1.21:1|3.2.1.6:1|3.2.1.73:1	GH3(74-317)	GH3_e0	GH3	3
JOP69_RS09860	-|-	-	CBM4_e16+CBM4_e16	CBM4	2
JOP69_RS09765	-	-	-	GH43_1	1
JOP69_RS09870	-	-	-	GH35	1
JOP69_RS09885	-	-	-	CBM6	1
