HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH3.hmm	216	BACOVA_02644	747	5.3e-67	5	215	74	292	0.9722222222222222
GH2.hmm	752	BACOVA_02645	851	2.6e-130	27	548	42	745	0.6928191489361702
GH31_4.hmm	435	BACOVA_02646	954	2.4e-182	1	435	376	843	0.9977011494252873
GH9.hmm	418	BACOVA_02649	587	9.4e-104	5	416	121	574	0.9832535885167464
GH5_4.hmm	276	BACOVA_02653	502	1.9e-90	2	275	182	475	0.9891304347826086
GH43_12.hmm	281	BACOVA_02654	526	5.2e-120	2	281	25	298	0.9928825622775801
CBM91.hmm	200	BACOVA_02654	526	1.4e-55	4	198	325	520	0.97
GH43_12.hmm	281	BACOVA_02656	486	1.1e-100	18	281	2	262	0.9359430604982206
CBM91.hmm	200	BACOVA_02656	486	2.2e-64	4	198	289	484	0.97
GH3.hmm	216	BACOVA_02659	792	7.8e-66	4	216	119	348	0.9814814814814815
