CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	CAZyme	NZ_AP012330	BBPC_RS08935	1	2352	-	GH95| GH95
CGC1	null	NZ_AP012330	BBPC_RS08940	2379	3272	-	null
CGC1	null	NZ_AP012330	BBPC_RS08945	3269	4090	-	null
CGC1	null	NZ_AP012330	BBPC_RS08950	4101	4892	-	null
CGC1	null	NZ_AP012330	BBPC_RS08955	4908	6185	-	null
CGC1	STP	NZ_AP012330	BBPC_RS08960	6277	7662	-	SBP_bac_1
CGC1	TC	NZ_AP012330	BBPC_RS08965	7777	8754	-	3.A.1.1.48
CGC1	TC	NZ_AP012330	BBPC_RS08970	8754	9665	-	3.A.1.1.48
CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	CAZyme	NZ_AP012330	BBPC_RS08935	1	2352	-	GH95
CGC1	null	NZ_AP012330	BBPC_RS08940;Parent	2379	3272	-	null
CGC1	null	NZ_AP012330	BBPC_RS08945;Parent	3269	4090	-	null
CGC1	null	NZ_AP012330	BBPC_RS08950;Parent	4101	4892	-	null
CGC1	null	NZ_AP012330	BBPC_RS08955;Parent	4908	6185	-	null
CGC1	STP	NZ_AP012330	BBPC_RS08960	6277	7662	-	SBP_bac_1
CGC1	TC	NZ_AP012330	BBPC_RS08965	7777	8754	-	3.A.1.1.48
CGC1	TC	NZ_AP012330	BBPC_RS08970	8754	9665	-	3.A.1.1.48
