Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
FJOH_RS16145	3.2.1.55:3|3.2.1.55:3	GH43_19(83-314)+GH43_34(341-629)	GH43_e159+GH43_e159	GH43_19+GH43_34	3
FJOH_RS16150	3.2.1.88:1	GH27(194-427)	GH27_e28	GH27	3
FJOH_RS16155	3.2.1.23:3	GH2(28-732)	GH2_e16	GH2	3
FJOH_RS16160	3.2.1.-:3|3.2.1.63:2	GH95(23-784)	GH95_e1	GH95	3
FJOH_RS16165	3.2.1.55:5	GH51_2(204-659)	GH51_e47	GH51	3
FJOH_RS16170	-	GH28(48-396)	GH28_e30	GH28	3
FJOH_RS16175	-	GH28(48-393)	GH28_e78	GH28	3
FJOH_RS16190	-	GH2(58-922)	GH2_e30	GH2	3
FJOH_RS16220	-	GH92(243-745)	GH92_e14	GH92	3
FJOH_RS16225	-	GH92(237-766)	GH92_e24	GH92	3
FJOH_RS16240	-	GH89(79-724)	GH89_e0	GH89	3
