HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH43_19.hmm	233	FJOH_RS16145	644	1.2e-93	1	233	83	314	0.9957081545064378
GH43_34.hmm	280	FJOH_RS16145	644	2.3e-97	1	280	341	629	0.9964285714285714
GH27.hmm	229	FJOH_RS16150	453	1.2e-60	10	227	194	427	0.9475982532751092
GH2.hmm	752	FJOH_RS16155	806	1.4e-126	30	590	28	732	0.7446808510638298
GH95.hmm	722	FJOH_RS16160	822	1.1e-292	4	713	23	784	0.981994459833795
GH51_2.hmm	435	FJOH_RS16165	661	2.3e-193	2	435	204	659	0.9954022988505747
GH28.hmm	325	FJOH_RS16170	479	5.3e-73	6	308	48	396	0.9292307692307692
GH28.hmm	325	FJOH_RS16175	509	4.4e-60	5	309	48	393	0.9353846153846154
GH2.hmm	752	FJOH_RS16190	1043	1.3e-223	21	750	58	922	0.9694148936170213
GH92.hmm	491	FJOH_RS16220	757	1.1e-166	2	491	243	745	0.9959266802443992
GH92.hmm	491	FJOH_RS16225	768	3.6e-150	5	489	237	766	0.9857433808553971
GH89.hmm	663	FJOH_RS16240	726	1.2e-231	3	643	79	724	0.9653092006033183
