Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
GRFL_0317	APU67041.1|GH43_10	100	516	0	0	1	516	1	516	0.0	1061
GRFL_0318	APU67042.1|GH43_12	100	581	0	0	1	581	1	581	0.0	1209
GRFL_0320	APU67044.1|CE20	100	648	0	0	1	648	1	648	0.0	1339
GRFL_0321	APU67045.1|GH43_1	100	391	0	0	1	391	1	391	2.38e-292	795
GRFL_0324	QGW29741.1|GT4	38.0	615	324	13	3	600	391	965	3.85e-116	373
GRFL_0332	APU67056.1|GH3	100	735	0	0	1	735	1	735	0.0	1478
GRFL_0333	APU67057.1|GH67	100	743	0	0	1	743	1	743	0.0	1535
GRFL_0335	ACU62277.1|GH35	52.5	381	181	0	1	381	3	383	1.32e-131	404
GRFL_0336	APU67060.1|GH10	100	382	0	0	1	382	1	382	5.74e-284	773
GRFL_0337	APU67061.1|GH115	100	947	0	0	1	947	1	947	0.0	1917
GRFL_0338	APU67062.1|CE15	100	439	0	0	1	439	1	439	0.0	900
