Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
GRFL_0317	-|-	GH43_10(28-293)+CBM91(328-514)	GH43_e101+CBM91_e51	GH43_10	3
GRFL_0318	3.2.1.55:7|3.2.1.8:1|-	GH43_12(64-359)+CBM91(396-575)	GH43_e124+CBM91_e46	GH43_12	3
GRFL_0320	-	CE20(102-223)+CE20(388-534)	CE20_e20	CE20	3
GRFL_0321	3.2.1.37:19|3.2.1.55:4	GH43_1(69-378)	GH43_e53	GH43_1	3
GRFL_0332	3.2.1.37:92|3.2.1.55:39|3.2.1.21:1|3.2.1.6:1|3.2.1.73:1	GH3(67-307)	GH3_e0	GH3	3
GRFL_0333	3.2.1.139:4|3.2.1.131:3|3.2.1.-:1	GH67(45-715)	GH67_e0	GH67	3
GRFL_0336	3.2.1.8:1	GH10(44-371)	GH10_e7	GH10	3
GRFL_0337	3.2.1.131:6	GH115(46-926)	GH115_e0	GH115	3
GRFL_0338	3.1.1.-:2|3.1.1.72:1	CE15(73-438)	CE15_e14	CE15	3
GRFL_0324	-	-	-	GT4	1
GRFL_0335	-	-	-	GH35	1
