HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH86.hmm	591	NBT05_RS08975	742	2.4e-187	4	590	22	651	0.9915397631133672
GH16_16.hmm	246	NBT05_RS08980	905	3.7e-104	1	246	57	383	0.9959349593495935
CBM6.hmm	138	NBT05_RS08980	905	1.4e-20	3	132	682	810	0.9347826086956522
GH86.hmm	591	NBT05_RS08985	1034	2.7e-51	5	219	23	268	0.36209813874788493
GH86.hmm	591	NBT05_RS08985	1034	9.5e-131	211	590	303	703	0.6412859560067682
CBM6.hmm	138	NBT05_RS08985	1034	3.3e-21	18	135	814	938	0.8478260869565217
GH16_16.hmm	246	NBT05_RS08995	375	4.2e-72	1	246	88	363	0.9959349593495935
GH86.hmm	591	NBT05_RS09025	882	3.6e-204	4	590	28	653	0.9915397631133672
GH16_15.hmm	231	NBT05_RS09030	420	6.8e-121	1	231	169	415	0.9956709956709957
CE1.hmm	227	NBT05_RS09095	272	3.4e-39	2	220	28	259	0.960352422907489
GH2.hmm	752	NBT05_RS09110	845	1.7e-114	30	599	30	781	0.7566489361702128
GH117.hmm	211	NBT05_RS09115	427	1.1e-46	2	120	106	235	0.5592417061611374
GH117.hmm	211	NBT05_RS09115	427	1.8e-30	31	116	230	315	0.4028436018957346
GH82.hmm	185	NBT05_RS09155	502	7.7e-27	14	185	43	220	0.9243243243243243
