Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
NBT05_RS08975	3.2.1.81:2	GH86(22-651)	GH86_e5	GH86	3
NBT05_RS08980	3.2.1.81:9|3.2.1.39:1|3.2.1.39:1|3.2.1.39:1|-	GH16_16(57-383)+CBM6(682-810)	GH16_e284+CBM56_e2+CBM56_e2+CBM56_e2+CBM6_e14	CBM6+GH16_16	3
NBT05_RS08985	-|3.2.1.81:3|3.2.1.39:1|3.2.1.81:2	GH86(23-268)+GH86(303-703)+CBM6(814-938)	GH86_e12+GH86_e4+CBM56_e2+CBM6_e20	CBM6+GH86	3
NBT05_RS08995	-	GH16_16(88-363)	GH16_e195	GH16_16	3
NBT05_RS09025	-	GH86(28-653)	GH86_e12	GH86	3
NBT05_RS09030	3.2.1.81:4	GH16_15(169-415)	GH16_e249	GH16_15	3
NBT05_RS09095	-	CE1(28-259)	CE1_e22	-	2
NBT05_RS09110	3.2.1.23:3	GH2(30-781)	GH2_e16	GH2	3
NBT05_RS09115	3.2.1.159:6|3.2.1.159:6	GH117(106-235)+GH117(230-315)	GH117_e15+GH117_e15	GH117	3
NBT05_RS09155	3.2.1.157:3	GH82(43-220)	GH82_e3	GH82	3
NBT05_RS09050	-	-	-	CBM32	1
NBT05_RS09160	-	-	-	GH43_26	1
