CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	CAZyme	NZ_GG694015	HMPREF0444_RS02860	1743	3602	-	PL12_1
CGC1	TC	NZ_GG694015	HMPREF0444_RS02865	3612	4427	-	4.A.6.1.14
CGC1	TC	NZ_GG694015	HMPREF0444_RS02870	4417	5217	-	4.A.6.1.14
CGC1	TC	NZ_GG694015	HMPREF0444_RS02875	5232	5732	-	4.A.6.1.14
CGC1	CAZyme	NZ_GG694015	HMPREF0444_RS02885	7052	10366	-	CBM70|PL8_1
CGC1	TF	NZ_GG694015	HMPREF0444_RS02890	10500	11189	-	GntR
CGC1	null	NZ_GG694015	HMPREF0444_RS02895;Parent	11291	12088	-	null
CGC1	null	NZ_GG694015	HMPREF0444_RS02900;Parent	12104	12934	-	null
CGC1	null	NZ_GG694015	HMPREF0444_RS02905;Parent	13363	13884	-	null
CGC1	null	NZ_GG694015	HMPREF0444_RS02910;Parent	13887	14576	-	null
CGC1	null	NZ_GG694015	HMPREF0444_RS02915;Parent	14592	15416	-	null
CGC1	TC	NZ_GG694015	HMPREF0444_RS02920	15419	15703	-	4.A.5.1.2
CGC1	TC	NZ_GG694015	HMPREF0444_RS02925	15715	17040	-	4.A.5.1.2
CGC1	TC	NZ_GG694015	HMPREF0444_RS02930	17139	17603	-	4.A.5.1.7
