HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH43_12.hmm	281	HPS56_11565	549	5.5e-114	2	281	48	340	0.9928825622775801
CBM91.hmm	200	HPS56_11565	549	3.1e-51	5	181	374	548	0.88
GH115.hmm	697	HPS56_11570	833	1.3e-264	12	697	38	811	0.9827833572453372
GH43_10.hmm	271	HPS56_11575	698	4e-75	1	225	35	249	0.8265682656826568
CBM91.hmm	200	HPS56_11575	698	8.4e-25	4	196	361	547	0.96
GH97.hmm	631	HPS56_11580	634	8.6e-168	7	628	9	632	0.9841521394611727
GH43_29.hmm	278	HPS56_11585	456	4.8e-120	1	277	21	309	0.9928057553956835
CBM6.hmm	138	HPS56_11585	456	1e-37	17	137	332	456	0.8695652173913043
CE1.hmm	227	HPS56_11590	621	2.3e-53	7	221	39	273	0.9427312775330396
CE1.hmm	227	HPS56_11590	621	4.9e-55	2	219	400	615	0.9559471365638766
GH95.hmm	722	HPS56_11595	818	3.2e-281	4	713	23	753	0.981994459833795
GH115.hmm	697	HPS56_11600	840	2.4e-220	12	695	26	821	0.9799139167862266
CE1.hmm	227	HPS56_11620	413	4.8e-24	5	143	33	190	0.6079295154185022
GH30_8.hmm	342	HPS56_11625	502	5.6e-96	3	338	25	405	0.97953216374269
