PUL#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
PUL0625	CAZyme	JABKKF010000013	HPS56_11565	1	1650	-	GH43_12+CBM91
PUL0625	CAZyme	JABKKF010000013	HPS56_11570	1711	4212	-	GH115
PUL0625	CAZyme	JABKKF010000013	HPS56_11575	4227	6323	-	GH43_10+CBM91
PUL0625	CAZyme	JABKKF010000013	HPS56_11580	6360	8264	-	GH97
PUL0625	CAZyme	JABKKF010000013	HPS56_11585	8319	9689	-	GH43_29+CBM6
PUL0625	CAZyme	JABKKF010000013	HPS56_11590	9696	11561	-	CE1+CE1
PUL0625	CAZyme	JABKKF010000013	HPS56_11595	11577	14033	-	GH95
PUL0625	CAZyme	JABKKF010000013	HPS56_11600	14043	16565	-	GH115
PUL0625	CDS	JABKKF010000013	HPS56_11610	19440	22811	-	null
PUL0625	TF	JABKKF010000013	HPS56_11615	23319	27197	-	HTH_AraC
PUL0625	CAZyme	JABKKF010000013	HPS56_11620	27592	28833	-	CE1
PUL0625	CAZyme	JABKKF010000013	HPS56_11625	28862	30370	-	GH30_8
PUL0625	CDS	JABKKF010000013	HPS56_11630	30367	32043	-	null
PUL0625	CDS	JABKKF010000013	HPS56_11635	32053	35208	-	null
PUL0625	CDS	JABKKF010000013	HPS56_11640	35208	36827	-	null
PUL0625	CDS	JABKKF010000013	HPS56_11645	36868	38796	-	null
PUL0625	CDS	JABKKF010000013	HPS56_11650	38828	40513	-	null
PUL0625	TC	JABKKF010000013	HPS56_11655	40525	43779	-	1.B.14.6.1
