Reg_prop	24	HPS56_11615	1292	2.5e-07	3	23	32	52	0.8333333333333334
Reg_prop	24	HPS56_11615	1292	1.3e-05	2	23	76	97	0.875
Reg_prop	24	HPS56_11615	1292	2.7e-05	4	22	292	310	0.75
Reg_prop	24	HPS56_11615	1292	3.8e-06	1	22	462	483	0.875
Y_Y_Y	66	HPS56_11615	1292	3.7e-07	1	48	687	732	0.7121212121212122
HisKA	64	HPS56_11615	1292	5.6e-11	3	63	789	853	0.9375
HATPase_c	111	HPS56_11615	1292	1.4e-23	2	110	901	1012	0.972972972972973
Response_reg	112	HPS56_11615	1292	2.1e-25	1	111	1042	1152	0.9821428571428571
HTH_18	81	HPS56_11615	1292	9e-26	3	79	1212	1287	0.9382716049382716
TPR_1	34	HPS56_11650	561	9.6e-05	3	29	222	248	0.7647058823529411
