Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
HPS56_11565	BCS85404.1|GH43_12	69.9	535	154	3	19	546	20	554	1.83e-279	776
HPS56_11570	BCS85271.1|GH115	65.9	823	263	9	19	833	21	833	0.0	1119
HPS56_11575	UWO00304.1|CBM91|GH43_10|GH51_2	69.0	686	207	2	13	692	7	692	0.0	1019
HPS56_11580	QDO68320.1|GH97	66.1	629	206	3	13	634	18	646	7.86e-313	867
HPS56_11585	QIU93952.1|CBM6|GH43_29	71.7	438	123	1	19	456	24	460	1.67e-241	672
HPS56_11590	UBZ12997.1|CBM48|CE0|CE6	40.7	619	299	11	38	621	318	903	2.01e-153	469
HPS56_11595	UPS45859.1|GH95	65.5	821	270	4	4	812	1	820	0.0	1122
HPS56_11600	UKK54353.1|GH115	64.5	829	280	7	18	839	17	838	0.0	1108
HPS56_11620	UKK71184.1|CE1	46.7	413	199	9	11	404	4	414	1.33e-107	334
HPS56_11625	UPS45052.1|GH30_8	54.9	497	204	10	1	483	1	491	7.17e-181	522
