Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
CWS31_RS01305	WAJ71873.1|GH2	70.3	822	236	3	40	854	26	846	0.0	1231
CWS31_RS01335	QDJ95751.1|CBM6|GH96	67.2	1330	391	12	1	1320	1	1295	0.0	1616
CWS31_RS01340	QDJ95751.1|CBM6|GH96	76.0	918	217	3	253	1168	379	1295	0.0	1471
CWS31_RS01360	WAJ72248.1|GH50	67.4	769	241	2	26	789	22	785	0.0	1100
CWS31_RS01365	API65089.1|GH50	61.9	756	282	1	21	770	21	776	0.0	1001
CWS31_RS01380	AWB69023.1|GH29	75.0	501	122	2	22	521	2	500	5.53e-297	816
CWS31_RS01440	BAX82390.1|GH16_3	47.0	423	206	5	20	434	31	443	6.96e-123	380
CWS31_RS01475	BDF94612.1|GH50	63.6	774	268	4	16	787	15	776	0.0	1036
CWS31_RS01500	AWB65783.1|GH86	60.3	773	291	6	52	814	146	912	0.0	931
CWS31_RS01540	ARD22367.1|GH117	78.7	357	74	1	5	361	4	358	3.69e-221	612
