Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
CWS31_RS01305	3.2.1.23:3	GH2(29-794)	GH2_e16	GH2	3
CWS31_RS01335	3.2.1.81:3|3.2.1.81:1|3.2.1.158:3|3.2.1.158:3	GH96(697-1320)	CBM6_e38+CBM6_e64+CBM6_e29+GH96_e0	CBM6+GH96	3
CWS31_RS01340	3.2.1.158:3|3.2.1.158:3	GH96(556-1168)	CBM6_e29+GH96_e0	CBM6+GH96	3
CWS31_RS01360	3.2.1.81:19	GH50(100-783)	GH50_e8	GH50	3
CWS31_RS01365	3.2.1.81:19	GH50(88-767)	GH50_e8	GH50	3
CWS31_RS01380	3.2.1.51:6	GH29(37-409)	GH29_e53	GH29	3
CWS31_RS01475	3.2.1.81:19	GH50(91-783)	GH50_e8	GH50	3
CWS31_RS01500	3.2.1.81:2	GH86(155-805)	GH86_e5	GH86	3
CWS31_RS01540	3.2.1.159:6|3.2.1.159:6	GH117(54-180)+GH117(177-268)	GH117_e15+GH117_e15	GH117	3
CWS31_RS01440	-	-	-	GH16_3	1
