Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
BXY_32430	CBK68249.1|GH2	100	987	0	0	1	987	1	987	0.0	2021
BXY_32440	QUT32929.1|PL11_1	100	621	0	0	1	621	13	633	0.0	1308
BXY_32450	QRM98488.1|GH28	100	487	0	0	1	487	1	487	0.0	994
BXY_32480	CBK68254.1|GH117	100	358	0	0	1	358	1	358	3.84e-288	781
BXY_32560	CBK68262.1|PL11_1	100	607	0	0	1	607	1	607	0.0	1290
BXY_32580	CBK68264.1|GH28	100	436	0	0	1	436	1	436	0.0	902
BXY_32590	QUT32944.1|GH105	100	809	0	0	1	809	35	843	0.0	1697
BXY_32620	CBK68267.1|PL1	100	220	0	0	1	220	1	220	1.79e-167	464
BXY_32700	QVJ80657.1|GH105|GH28	52.2	711	305	11	25	702	887	1595	7.49e-250	742
BXY_32720	CBK68277.1|GH28	100	459	0	0	1	459	1	459	0.0	951
