HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH2.hmm	752	BXY_32430	987	2.1e-70	23	550	21	674	0.7007978723404256
PL11.hmm	606	BXY_32440	621	1e-274	2	573	18	608	0.9422442244224423
GH28.hmm	325	BXY_32450	487	7.4e-68	5	309	77	449	0.9353846153846154
GH117.hmm	211	BXY_32480	358	1.1e-31	45	150	110	208	0.4976303317535545
GH117.hmm	211	BXY_32480	358	2.2e-48	46	210	173	340	0.7772511848341233
PL11.hmm	606	BXY_32560	607	8.1e-204	18	574	19	606	0.9174917491749175
GH28.hmm	325	BXY_32580	436	8.7e-62	8	308	74	414	0.9230769230769231
CE20.hmm	249	BXY_32590	809	3.2e-91	3	249	71	333	0.9879518072289156
GH105.hmm	332	BXY_32590	809	1.8e-124	7	331	467	808	0.9759036144578314
GH28.hmm	325	BXY_32720	459	4e-85	7	309	66	436	0.9292307692307692
