Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
HMPREF1534_RS16630	-	CE9(5-378)	CE9_e7	CE9	3
HMPREF1534_RS16635	3.2.1.23:2	GH2(22-759)	GH2_e137	GH2	3
HMPREF1534_RS16640	3.2.1.24:1	GH92(260-746)	GH92_e13	GH92	3
HMPREF1534_RS16645	3.2.1.52:18|3.2.1.-:1|-	GH20(145-492)	GH20_e12+CBM32_e198	GH20	3
HMPREF1534_RS16655	3.2.1.52:18|3.2.1.-:1	GH20(155-508)	GH20_e12	GH20	3
HMPREF1534_RS16660	3.2.1.25:4	GH2(21-812)	GH2_e80	GH2	3
HMPREF1534_RS16665	-	CE3(23-211)+CE20(299-579)	CE20_e16	CE20	3
HMPREF1534_RS16670	-	CE3(31-207)	-	CE0	2
HMPREF1534_RS16675	3.2.1.52:1	GH20(141-412)	GH20_e112	GH20	3
HMPREF1534_RS16680	3.2.1.18:6	CBM93(24-172)+GH33(194-530)	GH33_e121	GH33	3
HMPREF1534_RS16650	-	-	-	CE20	1
