PUL#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
PUL0620	CAZyme	JABKKE010000016	HPS55_09945	1	3660	+	GH128
PUL0620	CDS	JABKKE010000016	HPS55_09950	4473	4709	+	null
PUL0620	CDS	JABKKE010000016	HPS55_09955	5110	8640	+	null
PUL0620	CAZyme	JABKKE010000016	HPS55_09960	8781	13073	+	GH51+GH43_19
PUL0620	CDS	JABKKE010000016	HPS55_09965	13118	15775	+	null
PUL0620	TC	JABKKE010000016	HPS55_09970	15785	19153	+	1.B.14.6.1
PUL0620	CDS	JABKKE010000016	HPS55_09975	19186	21009	+	null
PUL0620	CDS	JABKKE010000016	HPS55_09980	21059	23149	+	null
PUL0620	CDS	JABKKE010000016	HPS55_09985	23321	25099	+	null
PUL0620	CDS	JABKKE010000016	HPS55_09990	25135	28377	+	null
