HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH107.hmm	329	AXE80_RS07320	800	1.2e-82	1	329	18	386	0.9969604863221885
GH107.hmm	329	AXE80_RS07325	883	8.2e-65	2	329	247	640	0.993920972644377
GH141.hmm	527	AXE80_RS07330	718	8.2e-79	2	524	29	559	0.9905123339658444
GH43_2.hmm	273	AXE80_RS07335	539	3.2e-108	1	273	32	293	0.9963369963369964
GH141.hmm	527	AXE80_RS07345	790	3.8e-70	2	523	24	542	0.9886148007590133
GH141.hmm	527	AXE80_RS07360	741	6.3e-78	2	515	33	580	0.9734345351043643
GH29.hmm	346	AXE80_RS07365	372	7.5e-93	8	338	17	371	0.953757225433526
GH95.hmm	722	AXE80_RS07370	901	3.9e-193	3	718	54	767	0.9903047091412742
GH168.hmm	277	AXE80_RS07380	389	2e-94	1	277	104	373	0.9963898916967509
GH29.hmm	346	AXE80_RS07385	520	8.8e-18	33	291	202	456	0.7456647398843931
GH117.hmm	211	AXE80_RS07390	347	2.2e-21	57	208	174	328	0.7156398104265402
GH29.hmm	346	AXE80_RS07395	613	3e-86	37	346	56	383	0.8930635838150289
GH29.hmm	346	AXE80_RS07425	494	8.4e-99	7	346	11	382	0.9797687861271677
GH107.hmm	329	AXE80_RS07435	967	1.9e-43	26	329	228	557	0.9209726443768997
GH107.hmm	329	AXE80_RS07440	799	9.1e-120	1	329	40	383	0.9969604863221885
GH29.hmm	346	AXE80_RS07465	644	9.9e-91	9	346	16	361	0.9739884393063584
