dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH107_e2	GH107:8	3.2.1.212:4	fucoidan	356	AXE80_RS07320	800	3.6e-194	1	356	20	387	0.9971910112359551	0.9971910112359551
GH107_e2	GH107:8	3.2.1.212:4	fucoidan	356	AXE80_RS07325	883	2.4e-174	1	356	248	641	0.9971910112359551	0.9971910112359551
GH141_e20	GH141:24|CBM32:1|CBM6:1	-	-	540	AXE80_RS07330	718	8.4e-263	1	540	30	560	0.9981481481481481	0.9981481481481481
GH43_e327	GH43_2:71|CBM6:10|GH43:10|CBM42:1|GH43_34:1|CBM35:1|GH43_29:1	3.2.1.55:2	xylan	267	AXE80_RS07335	539	4.7e-111	1	267	33	294	0.9962546816479401	0.9962546816479401
GH141_e24	GH141:42	-	-	504	AXE80_RS07345	790	7.2e-70	1	501	25	542	0.9920634920634921	0.9920634920634921
GH141_e12	GH141:7|GH168:1	-	-	565	AXE80_RS07360	741	0	1	565	34	588	0.9982300884955753	0.9982300884955753
GH29_e73	GH29:14	-	-	328	AXE80_RS07365	372	2.6e-170	1	327	39	372	0.9939024390243902	0.9939024390243902
GH95_e0	GH95:552|CBM51:45|CBM32:26|CBM13:1|CBM47:1	3.2.1.63:5|3.2.1.51:1	xyloglucan, host glycan, host glycan	726	AXE80_RS07370	901	1.7e-198	97	723	119	765	0.8622589531680441	0.8622589531680441
GH168_e1	GH168:11	3.2.1.211:1	fucoidan	278	AXE80_RS07380	389	5.3e-144	1	278	105	374	0.9964028776978417	0.9964028776978417
GH117_e9	GH117:11	-	-	161	AXE80_RS07390	347	1.9e-46	10	160	173	330	0.9316770186335404	0.9316770186335404
GH29_e26	GH29:36	-	-	323	AXE80_RS07395	613	1.5e-120	5	323	59	384	0.9845201238390093	0.9845201238390093
GH29_e45	GH29:20|GH88:7	-	-	334	AXE80_RS07425	494	1.8e-159	3	334	35	383	0.9910179640718563	0.9910179640718563
GH107_e2	GH107:8	3.2.1.212:4	fucoidan	356	AXE80_RS07435	967	1.4e-159	22	356	226	558	0.9382022471910112	0.9382022471910112
GH107_e2	GH107:8	3.2.1.212:4	fucoidan	356	AXE80_RS07440	799	1e-170	1	356	42	384	0.9971910112359551	0.9971910112359551
GH29_e29	GH29:20	3.2.1.51:2	host glycan	323	AXE80_RS07465	644	1.8e-182	3	323	42	362	0.9907120743034056	0.9907120743034056
