CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	CAZyme	NC_008228	PATL_RS11770	5277	6089	+	CE1
CGC1	null	NC_008228	PATL_RS11775;Parent	6202	6852	-	null
CGC1	TC	NC_008228	PATL_RS11780	7176	9332	+	9.B.34.1.3
CGC1	null	NC_008228	PATL_RS11785;Parent	9490	10611	+	null
CGC1	TF	NC_008228	PATL_RS11790	10819	11727	+	HTH_1
CGC1	TF	NC_008228	PATL_RS11795	11786	12613	-	Trans_reg_C
CGC1	null	NC_008228	PATL_RS11800;Parent	13238	15196	+	null
CGC1	null	NC_008228	PATL_RS11805;Parent	15278	15625	+	null
CGC1	null	NC_008228	PATL_RS11810;Parent	15645	16316	+	null
CGC1	null	NC_008228	PATL_RS11815;Parent	16332	16814	+	null
CGC1	TC	NC_008228	PATL_RS11820	16960	18285	-	9.B.153.3.16
CGC1	TC	NC_008228	PATL_RS11825	18581	20878	-	1.B.14.8.2
CGC1	null	NC_008228	PATL_RS11830;Parent	21202	22077	+	null
CGC1	STP	NC_008228	PATL_RS11835	22203	23114	+	Pyr_redox
CGC1	null	NC_008228	PATL_RS11840;Parent	23118	24050	+	null
CGC1	null	NC_008228	PATL_RS11845;Parent	24142	24486	+	null
CGC1	null	NC_008228	PATL_RS11850;Parent	24486	25286	+	null
CGC1	null	NC_008228	PATL_RS11855;Parent	25365	26834	+	null
CGC1	TF	NC_008228	PATL_RS11860	27165	27938	-	MarR
CGC1	null	NC_008228	PATL_RS11865;Parent	28072	28479	-	null
CGC1	null	NC_008228	PATL_RS11870;Parent	28772	30475	+	null
CGC1	TC	NC_008228	PATL_RS11875	30584	32023	+	2.A.1.3.17
CGC1	TC	NC_008228	PATL_RS11880	32124	33404	-	1.I.1.1.3
CGC1	TF	NC_008228	PATL_RS11885	33971	34888	-	HTH_1
CGC1	null	NC_008228	PATL_RS11890;Parent	34976	35782	+	null
CGC1	null	NC_008228	PATL_RS11895;Parent	35851	36771	-	null
CGC1	null	NC_008228	PATL_RS11900;Parent	36995	37381	-	null
CGC1	STP	NC_008228	PATL_RS11905	37521	38159	-	HD
CGC1	null	NC_008228	PATL_RS11910;Parent	38334	38669	-	null
CGC1	STP	NC_008228	PATL_RS11915	38795	39571	-	SBP_bac_3
CGC1	CAZyme	NC_008228	PATL_RS11920	39812	42238	-	GH31
CGC1	CAZyme	NC_008228	PATL_RS11925	42381	43247	-	CE1
CGC1	CAZyme	NC_008228	PATL_RS11930	43295	45091	-	GH13_38
CGC1	CAZyme	NC_008228	PATL_RS22240	45551	49066	+	GH86
