HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH16_16.hmm	246	BACPLE_RS08570	316	1.6e-112	1	246	51	310	0.9959349593495935
GH117.hmm	211	BACPLE_RS08575	402	2e-50	3	120	96	223	0.5545023696682464
GH117.hmm	211	BACPLE_RS08575	402	4e-28	30	126	217	303	0.4549763033175355
GH2.hmm	752	BACPLE_RS08580	851	3.6e-118	24	611	30	752	0.7805851063829787
GH2.hmm	752	BACPLE_RS08585	851	2.9e-115	27	510	23	655	0.6422872340425532
GH50.hmm	653	BACPLE_RS08630	523	1.5e-46	296	653	182	516	0.5467075038284839
GH105.hmm	332	BACPLE_RS08635	770	1.6e-78	5	332	44	371	0.9849397590361446
GH154.hmm	348	BACPLE_RS08635	770	8.9e-107	1	348	380	742	0.9971264367816092
GH16_12.hmm	239	BACPLE_RS08655	321	5e-101	1	239	52	314	0.99581589958159
GH86.hmm	591	BACPLE_RS08665	728	2.7e-171	6	590	25	593	0.988155668358714
GH86.hmm	591	BACPLE_RS08670	607	3.6e-168	5	590	28	599	0.9898477157360406
GH29.hmm	346	BACPLE_RS08715	592	6.5e-114	25	346	33	394	0.9277456647398844
GH16_14.hmm	224	BACPLE_RS08720	300	5.3e-93	1	224	77	297	0.9955357142857143
GH2.hmm	752	BACPLE_RS08735	1103	2.5e-225	23	751	68	972	0.9680851063829787
