Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
BACPLE_RS08570	3.2.1.81:11|3.2.1.178:1	GH16_16(51-310)	GH16_e48	GH16_16+3.2.1.81	3
BACPLE_RS08575	3.2.1.159:6|3.2.1.159:6	GH117(96-223)+GH117(217-303)	GH117_e15+GH117_e15	GH117+3.2.1.159	3
BACPLE_RS08580	3.2.1.23:3	GH2(30-752)	GH2_e16	GH2	3
BACPLE_RS08585	3.2.1.23:3	GH2(23-655)	GH2_e16	GH2	3
BACPLE_RS08630	-	GH50(182-516)	GH50_e0	GH50	3
BACPLE_RS08635	3.2.1.-:1|-	GH105(44-371)+GH154(380-742)	GH105_e39+GH154_e2	GH105+GH154	3
BACPLE_RS08655	3.2.1.178:1	GH16_12(52-314)	GH16_e253	GH16_12+3.2.1.178	3
BACPLE_RS08665	3.2.1.81:2|3.2.1.178:1	GH86(25-593)	GH86_e7	GH86+3.2.1.178	3
BACPLE_RS08670	3.2.1.81:2|3.2.1.178:1	GH86(28-599)	GH86_e7	GH86	3
BACPLE_RS08715	3.2.1.51:6	GH29(33-394)	GH29_e53	GH29	3
BACPLE_RS08720	-	GH16_14(77-297)	GH16_e259	GH16_14	3
BACPLE_RS08735	3.2.1.23:35	GH2(68-972)	GH2_e1	GH2	3
BACPLE_RS08710	-	-	-	GH29	1
