Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
BACPLE_RS08570	EDY95404.1|GH16_16|3.2.1.81	100	316	0	0	1	316	1	316	1.48e-248	677
BACPLE_RS08575	EDY95405.1|GH117|3.2.1.159	100	402	0	0	1	402	1	402	1.66e-316	857
BACPLE_RS08580	EDY95406.1|GH2	100	851	0	0	1	851	1	851	0.0	1781
BACPLE_RS08585	EDY95407.1|GH2	100	851	0	0	1	851	1	851	0.0	1766
BACPLE_RS08630	EDY95417.1|GH50	100	523	0	0	1	523	1	523	0.0	1058
BACPLE_RS08635	EDY95418.1|GH105|GH154	100	762	0	0	9	770	1	762	0.0	1608
BACPLE_RS08655	EDY95423.1|GH16_12|3.2.1.178	100	321	0	0	1	321	1	321	1.80e-247	675
BACPLE_RS08665	EDY95427.1|GH86|3.2.1.178	100	728	0	0	1	728	1	728	0.0	1485
BACPLE_RS08670	EDY95428.1|GH86	99.8	574	1	0	34	607	1	574	0.0	1182
BACPLE_RS08710	WDE98580.1|GH29	50.6	508	216	8	18	516	21	502	1.47e-164	498
BACPLE_RS08715	EDY95436.1|GH29	100	592	0	0	1	592	6	597	0.0	1229
BACPLE_RS08720	EDY95437.1|GH16_14	100	300	0	0	1	300	1	300	3.87e-236	645
BACPLE_RS08735	EDY95440.1|GH2	100	1086	0	0	18	1103	1	1086	0.0	2276
