Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
ACI5KW_RS23345	QDV41123.1|GH172	62.2	679	245	4	21	694	22	693	4.79e-317	883
ACI5KW_RS23360	QDV41148.1|GH28	65.8	459	142	3	34	490	57	502	3.14e-223	629
ACI5KW_RS23375	QDV63998.1|GH97	59.6	376	147	3	35	405	25	400	1.27e-153	464
ACI5KW_RS23385	SPS73676.1|GH174	36.7	619	317	21	29	627	246	809	1.69e-104	357
ACI5KW_RS23390	CAD72594.1|GH43	47.5	484	237	7	36	518	731	1198	9.85e-138	440
ACI5KW_RS23395	SPS73676.1|GH174	46.9	586	278	12	35	604	246	814	1.52e-156	498
ACI5KW_RS23405	ULL13589.1|GH95	40.1	743	408	9	40	780	12	719	6.82e-193	571
ACI5KW_RS23410	QDU86686.1|GH29	75.1	450	108	3	5	452	11	458	1.82e-265	732
ACI5KW_RS23415	WDE99392.1|CBM51	33.4	766	435	17	23	747	38	769	3.22e-117	376
ACI5KW_RS23420	ANW94862.1|GH115	65.8	719	236	4	17	726	2	719	0.0	999
