Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
BACUNI_RS15325	-	GH43_33(35-351)	GH43_e74	GH43_33	3
BACUNI_RS15330	3.2.1.31:1	GH2(23-582)	GH2_e122	GH2	3
BACUNI_RS15355	-	GH5_4(163-446)	GH5_e11	GH5_4	3
BACUNI_RS15360	3.2.1.22:1	GH97(13-687)	GH97_e1	GH97	3
BACUNI_RS15365	3.2.1.23:35|-	GH2(50-576)+GH2(780-1124)	GH2_e1+GH2_e159	GH2	3
BACUNI_RS15370	-	GH42(34-398)	GH42_e15	GH42	3
BACUNI_RS15375	3.2.1.23:35	GH2(46-915)	GH2_e1	GH2	3
BACUNI_RS15380	-	GH29(21-421)	GH29_e82	GH29	3
BACUNI_RS15385	3.2.1.177:4	GH31_4(222-695)	GH31_e94	GH31	3
BACUNI_RS15390	-|3.2.1.55:1|-	CE20(107-357)+GH43_16(496-806)+CBM6(831-946)	CE20_e24+GH43_e76+CBM6_e42	CBM6+GH43_16	3
BACUNI_RS15340	-	-	-	GH35	1
