HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH43_33.hmm	315	BACUNI_RS15325	367	2e-138	2	315	35	351	0.9936507936507937
GH2.hmm	752	BACUNI_RS15330	665	8.1e-96	28	499	23	582	0.6263297872340425
GH5_4.hmm	276	BACUNI_RS15355	477	1.2e-84	1	274	163	446	0.9891304347826086
GH97.hmm	631	BACUNI_RS15360	690	1e-199	4	630	13	687	0.9920760697305864
GH2.hmm	752	BACUNI_RS15365	1241	1.7e-137	23	471	50	576	0.5957446808510638
GH2.hmm	752	BACUNI_RS15365	1241	3.5e-58	464	748	780	1124	0.3776595744680851
GH42.hmm	371	BACUNI_RS15370	686	3.8e-116	2	370	34	398	0.9919137466307277
GH2.hmm	752	BACUNI_RS15375	1035	1e-216	22	751	46	915	0.9694148936170213
GH29.hmm	346	BACUNI_RS15380	538	2e-98	16	346	21	421	0.953757225433526
GH31_4.hmm	435	BACUNI_RS15385	796	1.1e-188	1	435	222	695	0.9977011494252873
CE20.hmm	249	BACUNI_RS15390	946	5.6e-94	3	249	107	357	0.9879518072289156
GH43_16.hmm	311	BACUNI_RS15390	946	1.8e-114	2	308	496	806	0.9839228295819936
CBM6.hmm	138	BACUNI_RS15390	946	2.7e-18	16	138	831	946	0.8840579710144928
