CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	CAZyme	NZ_DS362248	BACUNI_RS15325	1	1104	+	GH43_33
CGC1	CAZyme	NZ_DS362248	BACUNI_RS15330	1186	3183	-	GH2
CGC1	TF	NZ_DS362248	BACUNI_RS15335	3428	7438	+	HTH_AraC|HTH_AraC
CGC1	TC	NZ_DS362248	BACUNI_RS15340	7558	10734	+	1.B.14.6.1
CGC1	null	NZ_DS362248	BACUNI_RS15345;Parent	10778	12400	+	null
CGC1	null	NZ_DS362248	BACUNI_RS15350;Parent	12441	13898	+	null
CGC1	CAZyme	NZ_DS362248	BACUNI_RS15355	14029	15462	+	GH5_4
CGC1	CAZyme	NZ_DS362248	BACUNI_RS15360	15494	17566	+	GH97
CGC1	CAZyme	NZ_DS362248	BACUNI_RS15365	17563	21288	+	GH2|GH2
CGC1	CAZyme	NZ_DS362248	BACUNI_RS15370	21315	23375	+	GH42
CGC1	CAZyme	NZ_DS362248	BACUNI_RS15375	23398	26505	+	GH2
CGC1	CAZyme	NZ_DS362248	BACUNI_RS15380	26563	28179	+	GH29
CGC1	CAZyme	NZ_DS362248	BACUNI_RS15385	28194	30584	+	GH31_4
CGC1	CAZyme	NZ_DS362248	BACUNI_RS15390	30634	33474	+	CE20|GH43_16|CBM6
