dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH43_e74	GH43_33:86|GH43_31:7|GH43:2	-	-	320	BACUNI_RS15325	367	1.1e-168	1	320	35	352	0.996875	0.996875
GH2_e122	GH2:308|CBM57:2	3.2.1.31:1	beta-glucuronan	592	BACUNI_RS15330	665	2.2e-234	4	591	23	599	0.9915540540540541	0.9915540540540541
GH5_e11	GH5_4:10|CBM6:2|GH5_25:2	-	-	286	BACUNI_RS15355	477	3.1e-176	1	285	164	446	0.993006993006993	0.993006993006993
GH97_e1	GH97:229	3.2.1.22:1	alpha-glucan	639	BACUNI_RS15360	690	5.3e-274	3	639	17	688	0.9953051643192489	0.9953051643192489
GH2_e1	GH2:1541|CBM32:15|CBM51:13|CBM13:8|GH106:2|CBM67:2|GH33:1	3.2.1.23:35	beta-galactan	883	BACUNI_RS15365	1241	2.1e-186	30	553	49	572	0.5922989807474519	0.5922989807474519
GH2_e159	GH2:17	-	-	392	BACUNI_RS15365	1241	4.5e-134	19	373	773	1127	0.9030612244897959	0.9030612244897959
GH42_e15	GH42:21	-	-	365	BACUNI_RS15370	686	1.5e-210	1	365	35	399	0.9972602739726028	0.9972602739726028
GH2_e1	GH2:1541|CBM32:15|CBM51:13|CBM13:8|GH106:2|CBM67:2|GH33:1	3.2.1.23:35	beta-galactan	883	BACUNI_RS15375	1035	2.8e-306	29	883	45	916	0.9671574178935447	0.9671574178935447
GH29_e82	GH29:196	-	-	399	BACUNI_RS15380	538	1.8e-190	3	399	29	422	0.9924812030075187	0.9924812030075187
GH31_e94	GH31:154	3.2.1.177:4	xyloglucan	461	BACUNI_RS15385	796	1.6e-239	1	461	223	696	0.9978308026030369	0.9978308026030369
CE20_e24	CE20:41|CBM6:8|GH43_16:8	-	-	251	BACUNI_RS15390	946	5e-112	1	250	108	357	0.9920318725099602	0.9920318725099602
GH43_e76	GH43_16:30|CBM6:19|GH43:6|CBM75:2	3.2.1.55:1	xylan	314	BACUNI_RS15390	946	1.4e-173	1	313	497	806	0.9936305732484076	0.9936305732484076
CBM6_e42	CBM6:19|GH43_16:19	-	beta-glucan, xylan, cellulose	113	BACUNI_RS15390	946	1.9e-51	1	113	833	945	0.9911504424778761	0.9911504424778761
