Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
N913_RS10015	4.2.2.2:1|4.2.2.2:5	CBM66(44-199)+PL3_1(265-433)	CBM66_e6+PL3_e10	CBM66+PL3_1	3
N913_RS10020	4.2.2.2:1|4.2.2.2:2	CBM66(44-199)+PL9_1(274-651)	CBM66_e6+PL9_e23	CBM66+PL9_1	3
N913_RS10025	4.2.2.2:1|4.2.2.2:2	CBM66(44-199)+PL9_1(274-651)	CBM66_e6+PL9_e23	CBM66+PL9_1	3
N913_RS10030	4.2.2.2:1|4.2.2.2:2	CBM66(44-199)+PL9_1(274-651)	CBM66_e6+PL9_e23	CBM66+PL9_1	3
N913_RS10045	3.2.1.151:27|3.2.1.150:4|-|3.2.1.151:27|3.2.1.150:4|3.2.1.151:27|3.2.1.150:4|3.2.1.4:2|3.2.1.8:2|3.2.1.55:1|3.2.1.74:1|3.2.1.4:2|3.2.1.8:2|3.2.1.55:1|3.2.1.74:1|3.2.1.176:20|3.2.1.4:3|3.2.1.-:3|3.2.1.151:2|3.2.1.14:1	GH74(84-199)+GH74(227-343)+GH74(492-597)+GH74(591-699)+CBM3(833-913)+CBM3(1024-1104)+GH48(1239-1860)	GH74_e1+GH74_e8+GH74_e1+GH74_e1+CBM3_e16+CBM3_e16+GH48_e1	CBM3+GH48+GH74	3
N913_RS10065	-	GT39(161-371)	GT39_e6	GT39	3
N913_RS10070	3.2.1.4:52|3.2.1.73:6|3.2.1.176:2|3.2.1.78:1|3.2.1.4:55|3.2.1.176:4|3.2.1.78:4|3.2.1.-:3|3.2.1.151:3|3.2.1.8:1|3.2.1.91:1|3.2.1.4:2|3.2.1.8:2|3.2.1.55:1|3.2.1.74:1|3.2.1.4:2|3.2.1.8:2|3.2.1.55:1|3.2.1.74:1|3.2.1.78:15	GH9(42-460)+CBM3(489-571)+CBM3(706-786)+CBM3(911-991)+GH5_8(1120-1361)	GH9_e22+CBM3_e0+CBM3_e16+CBM3_e16+GH5_e22	CBM3+GH5_8+GH9	3
N913_RS10075	3.2.1.8:20|3.2.1.37:1|3.2.1.8:20|3.2.1.37:1|3.2.1.8:29|3.2.1.4:5|3.2.1.55:1|3.2.1.37:1|3.2.1.-:1|3.2.1.4:2|3.2.1.8:2|3.2.1.55:1|3.2.1.74:1|3.2.1.4:2|3.2.1.8:2|3.2.1.55:1|3.2.1.74:1|3.2.1.4:25|3.2.1.78:5|3.2.1.73:1|3.2.1.74:1	CBM22(42-164)+CBM22(192-325)+GH10(357-677)+CBM3(764-844)+CBM3(969-1049)+GH5_1(1194-1531)	CBM22_e1+CBM22_e1+GH10_e141+CBM3_e16+CBM3_e16+GH5_e276	CBM22+CBM3+GH10+GH5_1	3
N913_RS10080	3.2.1.8:29|3.2.1.4:5|3.2.1.55:1|3.2.1.37:1|3.2.1.-:1|3.2.1.4:2|3.2.1.8:2|3.2.1.55:1|3.2.1.74:1|-|3.2.1.176:20|3.2.1.4:3|3.2.1.-:3|3.2.1.151:2|3.2.1.14:1	GH10(45-372)+CBM3(420-500)+GH12(688-836)+GH48(886-1507)	GH10_e141+CBM3_e16+GH12_e25+GH48_e1	CBM3+GH10+GH12+GH48	3
N913_RS10085	3.2.1.78:15|3.2.1.4:2|3.2.1.8:2|3.2.1.55:1|3.2.1.74:1|3.2.1.4:2|3.2.1.8:2|3.2.1.55:1|3.2.1.74:1|3.2.1.4:9|3.2.1.151:9|3.2.1.78:5|3.2.1.8:1	GH5_8(53-294)+CBM3(377-457)+CBM3(582-662)+GH44(786-1302)	GH5_e22+CBM3_e16+CBM3_e16+GH44_e1	CBM3+GH44+GH5_8	3
N913_RS10090	3.2.1.4:52|3.2.1.73:6|3.2.1.176:2|3.2.1.78:1|3.2.1.4:55|3.2.1.176:4|3.2.1.78:4|3.2.1.-:3|3.2.1.151:3|3.2.1.8:1|3.2.1.91:1|3.2.1.4:2|3.2.1.8:2|3.2.1.55:1|3.2.1.74:1|3.2.1.4:2|3.2.1.8:2|3.2.1.55:1|3.2.1.74:1|3.2.1.176:20|3.2.1.4:3|3.2.1.-:3|3.2.1.151:2|3.2.1.14:1	GH9(36-466)+CBM3(491-576)+CBM3(712-792)+CBM3(903-983)+GH48(1118-1739)	GH9_e22+CBM3_e0+CBM3_e16+CBM3_e16+GH48_e1	CBM3+GH48+GH9	3
N913_RS14400	4.2.2.23:15|4.2.2.24:5|3.2.1.4:2|3.2.1.8:2|3.2.1.55:1|3.2.1.74:1	PL11(43-612)+CBM3(697-777)	PL11_e0+CBM3_e16	CBM3+PL11_1	3
