Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
N913_RS10015	ADQ45739.1|CBM66|PL3_1	92.5	451	30	1	1	451	1	447	3.26e-269	741
N913_RS10020	ACM60943.1|CBM66|PL9_1	91.3	657	53	1	1	657	1	653	0.0	1078
N913_RS10025	ACM60943.1|CBM66|PL9_1	91.3	657	53	1	1	657	1	653	0.0	1078
N913_RS10030	ACM60943.1|CBM66|PL9_1	91.3	657	53	1	1	657	1	653	0.0	1078
N913_RS10045	WAM32326.1|CBM3|GH48|GH74	93.8	1878	99	2	1	1864	1	1874	0.0	3430
N913_RS10065	AZT90846.1|GT39	95.8	565	24	0	1	565	1	565	0.0	1068
N913_RS10070	WAM32321.1|CBM3|GH5_8|GH9	94.5	1391	42	3	1	1391	1	1357	0.0	2470
N913_RS10075	WAM32320.1|CBM22|CBM3|GH10|GH5_1	95.0	1594	59	3	1	1594	1	1574	0.0	2845
N913_RS10080	WAM32319.1|CBM3|GH10|GH12|GH48	85.8	1718	37	3	1	1511	1	1718	0.0	2839
N913_RS10085	WAM32678.1|CBM3|GH44|GH5_8	92.9	1303	60	3	1	1303	1	1271	0.0	2265
N913_RS10090	WAM32318.1|CBM3|GH48|GH9	96.5	1757	39	2	1	1743	1	1749	0.0	3261
N913_RS14400	ADQ45740.1|CBM3|PL11_1	92.8	843	60	1	1	842	1	843	0.0	1489
