HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CBM66.hmm	155	N913_RS10015	451	7.8e-25	2	155	44	199	0.9870967741935484
PL3_1.hmm	173	N913_RS10015	451	1e-73	3	172	265	433	0.976878612716763
CBM66.hmm	155	N913_RS10020	657	1.6e-24	2	155	44	199	0.9870967741935484
PL9_1.hmm	375	N913_RS10020	657	4.4e-146	4	374	274	651	0.9866666666666667
CBM66.hmm	155	N913_RS10025	657	1.6e-24	2	155	44	199	0.9870967741935484
PL9_1.hmm	375	N913_RS10025	657	4.4e-146	4	374	274	651	0.9866666666666667
CBM66.hmm	155	N913_RS10030	657	1.6e-24	2	155	44	199	0.9870967741935484
PL9_1.hmm	375	N913_RS10030	657	4.4e-146	4	374	274	651	0.9866666666666667
GH74.hmm	233	N913_RS10045	1864	3.2e-32	2	114	84	199	0.48068669527896996
GH74.hmm	233	N913_RS10045	1864	1.2e-18	73	185	227	343	0.48068669527896996
GH74.hmm	233	N913_RS10045	1864	7.6e-19	8	117	492	597	0.4678111587982833
GH74.hmm	233	N913_RS10045	1864	1.1e-21	23	137	591	699	0.4892703862660944
CBM3.hmm	88	N913_RS10045	1864	9.4e-31	2	88	833	913	0.9772727272727273
CBM3.hmm	88	N913_RS10045	1864	1.3e-30	2	88	1024	1104	0.9772727272727273
GH48.hmm	611	N913_RS10045	1864	0	1	611	1239	1860	0.9983633387888707
GT39.hmm	223	N913_RS10065	565	6.1e-46	15	218	161	371	0.9103139013452914
GH9.hmm	418	N913_RS10070	1391	1.2e-140	1	418	42	460	0.9976076555023924
CBM3.hmm	88	N913_RS10070	1391	1.6e-20	5	88	489	571	0.9431818181818182
CBM3.hmm	88	N913_RS10070	1391	6.6e-31	2	88	706	786	0.9772727272727273
CBM3.hmm	88	N913_RS10070	1391	6.6e-31	2	88	911	991	0.9772727272727273
GH5_8.hmm	253	N913_RS10070	1391	4.5e-98	10	251	1120	1361	0.9525691699604744
CBM22.hmm	131	N913_RS10075	1594	4.7e-20	7	128	42	164	0.9236641221374046
CBM22.hmm	131	N913_RS10075	1594	1.4e-37	2	130	192	325	0.9770992366412213
GH10.hmm	303	N913_RS10075	1594	6.8e-119	4	302	357	677	0.9834983498349835
CBM3.hmm	88	N913_RS10075	1594	7.8e-31	2	88	764	844	0.9772727272727273
CBM3.hmm	88	N913_RS10075	1594	4.2e-30	2	88	969	1049	0.9772727272727273
GH5_1.hmm	310	N913_RS10075	1594	1.7e-128	1	310	1194	1531	0.9967741935483871
GH10.hmm	303	N913_RS10080	1511	1e-118	2	303	45	372	0.9933993399339934
CBM3.hmm	88	N913_RS10080	1511	7.3e-31	2	88	420	500	0.9772727272727273
GH12.hmm	156	N913_RS10080	1511	1.5e-42	1	156	688	836	0.9935897435897436
GH48.hmm	611	N913_RS10080	1511	0	1	611	886	1507	0.9983633387888707
GH5_8.hmm	253	N913_RS10085	1303	4.1e-98	10	251	53	294	0.9525691699604744
CBM3.hmm	88	N913_RS10085	1303	8.6e-31	2	88	377	457	0.9772727272727273
CBM3.hmm	88	N913_RS10085	1303	6.1e-31	2	88	582	662	0.9772727272727273
GH44.hmm	514	N913_RS10085	1303	2.9e-208	3	512	786	1302	0.9902723735408561
GH9.hmm	418	N913_RS10090	1743	2.8e-145	1	418	36	466	0.9976076555023924
CBM3.hmm	88	N913_RS10090	1743	5.4e-25	1	88	491	576	0.9886363636363636
CBM3.hmm	88	N913_RS10090	1743	8.7e-31	2	88	712	792	0.9772727272727273
CBM3.hmm	88	N913_RS10090	1743	8.7e-31	2	88	903	983	0.9772727272727273
GH48.hmm	611	N913_RS10090	1743	0	1	611	1118	1739	0.9983633387888707
PL11.hmm	606	N913_RS14400	844	2.2e-286	3	576	43	612	0.9455445544554455
CBM3.hmm	88	N913_RS14400	844	3.5e-31	2	88	697	777	0.9772727272727273
