PUL#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
PUL0653	CAZyme	AL645882	SCO3471	172	1101	-	GH16_16
PUL0653	TF	AL645882	SCO3472	1455	1718	-	HTH_8
PUL0653	CDS	AL645882	SCO3473	2522	3169	-	null
PUL0653	STP	AL645882	SCO3474	3208	4209	-	PfkB
PUL0653	CDS	AL645882	SCO3475	4337	5470	-	null
PUL0653	CDS	AL645882	SCO3476	5683	6438	-	null
PUL0653	CDS	AL645882	SCO3477	6435	7469	-	null
PUL0653	CDS	AL645882	SCO3478	7466	8500	-	null
PUL0653	CAZyme	AL645882	SCO3479	8862	11849	-	GH2
PUL0653	CDS	AL645882	SCO3480	11990	13075	-	null
PUL0653	CAZyme	AL645882	SCO3481	13137	14249	-	GH117+GH117
PUL0653	TC	AL645882	SCO3482	14276	15157	-	3.A.1.1.46
PUL0653	TC	AL645882	SCO3483	15169	16116	-	3.A.1.1.7
PUL0653	TC	AL645882	SCO3484	16152	17462	-	3.A.1.1.44
PUL0653	TF	AL645882	SCO3485	17644	18693	-	LacI
PUL0653	CDS	AL645882	SCO3486	18855	20333	+	null
PUL0653	CAZyme	AL645882	SCO3487	20716	23112	+	GH50
