Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
VDS02708.1	3.2.1.18:6	CBM93(24-172)+GH33(194-530)	GH33_e121	GH33	3
VDS02709.1	3.2.1.52:1	GH20(125-396)	GH20_e112	GH20	3
VDS02710.1	-	CE3(31-207)	-	CE0	2
VDS02711.1	-	CE3(23-211)+CE20(299-579)	CE20_e16	CE20	3
VDS02712.1	3.2.1.25:4	GH2(16-807)	GH2_e80	GH2	3
VDS02713.1	3.2.1.52:18|3.2.1.-:1	GH20(151-504)	GH20_e12	GH20	3
VDS02715.1	3.2.1.52:18|3.2.1.-:1|-	GH20(145-492)	GH20_e12+CBM32_e198	GH20	3
VDS02716.1	3.2.1.24:1	GH92(260-746)	GH92_e13	GH92	3
VDS02717.1	3.2.1.23:2	GH2(22-759)	GH2_e137	GH2	3
VDS02718.1	-	CE9(2-355)	CE9_e7	CE9	3
VDS02725.1	3.2.1.51:58	GH29(17-368)	GH29_e70	GH29	3
VDS02726.1	-	GH97(23-636)	GH97_e2	GH97	3
VDS02714.1	-	-	-	CE20	1
VDS02727.1	-	-	-	CBM51	1
