CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	TC	NZ_CP014224	AXE80_RS11195	782	2056	-	2.A.1.14.25
CGC1	TF	NZ_CP014224	AXE80_RS11200	2287	2991	-	GntR
CGC1	CAZyme	NZ_CP014224	AXE80_RS11205	3059	3961	-	PL7
CGC1	CAZyme	NZ_CP014224	AXE80_RS11210	3967	4887	-	PL7
CGC1	null	NZ_CP014224	AXE80_RS11215;Parent	4899	5780	-	null
CGC1	null	NZ_CP014224	AXE80_RS11220;Parent	5792	7219	-	null
CGC1	TC	NZ_CP014224	AXE80_RS11225	7242	10295	-	1.B.14.6.1
CGC1	null	NZ_CP014224	AXE80_RS11230;Parent	10832	11584	-	null
CGC1	STP	NZ_CP014224	AXE80_RS11235	11614	11991	-	AraC_binding
CGC1	CAZyme	NZ_CP014224	AXE80_RS11240	12003	14249	-	PL17_2|PL17
CGC1	CAZyme	NZ_CP014224	AXE80_RS11245	14283	16586	-	PL6|PL6_1
