Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
FG28_RS02290	QCX37642.1|GH5_26	75.6	308	75	0	1	308	27	334	4.57e-190	530
FG28_RS02295	QCX37643.1|GH27	69.4	372	114	0	1	372	31	402	4.04e-209	584
FG28_RS02310	ULC60893.1|GH26	66.4	366	123	0	53	418	153	518	5.98e-192	547
FG28_RS02315	ARA85284.1|CE12	63.6	327	118	1	4	329	45	371	2.62e-145	427
FG28_RS02320	UII32287.1|CE2	53.4	358	160	4	17	372	7	359	5.96e-132	387
FG28_RS02335	BBE15991.1|GH0	38.0	866	456	15	21	828	15	857	9.42e-194	580
FG28_RS02340	UAB85035.1|GH26	67.3	315	103	0	11	325	10	324	1.95e-176	496
FG28_RS02345	QNE42320.1|GH0	45.9	651	331	8	16	654	1	642	3.54e-194	566
FG28_RS02350	QLE03131.1|GH130	74.1	374	97	0	19	392	2	375	2.26e-222	617
FG28_RS02355	AXT62363.1|GH26	61.5	356	136	1	1	356	30	384	3.20e-166	474
