HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH78.hmm	504	BACDOR_RS19860	593	1.8e-96	3	499	92	591	0.9841269841269841
CE15.hmm	269	BACDOR_RS19865	427	9.6e-99	1	268	44	425	0.9925650557620818
PL11.hmm	606	BACDOR_RS19870	617	1.1e-166	3	571	56	617	0.9372937293729373
GH106.hmm	824	BACDOR_RS19875	1095	8.4e-84	2	654	37	707	0.7912621359223301
GH28.hmm	325	BACDOR_RS19875	1095	8.4e-73	9	317	734	1068	0.9476923076923077
GH105.hmm	332	BACDOR_RS19880	376	6.2e-94	6	332	55	374	0.9819277108433735
GH42.hmm	371	BACDOR_RS19885	704	7e-128	2	370	49	423	0.9919137466307277
GH43_18.hmm	229	BACDOR_RS19890	784	1.8e-87	2	229	67	301	0.9912663755458515
GH43_34.hmm	280	BACDOR_RS19890	784	4.1e-69	1	280	318	611	0.9964285714285714
CBM32.hmm	124	BACDOR_RS19890	784	3.8e-17	17	119	679	783	0.8225806451612904
GH2.hmm	752	BACDOR_RS19895	955	7.4e-73	26	587	19	755	0.7460106382978723
CE12.hmm	210	BACDOR_RS19900	424	4.7e-74	1	210	174	379	0.9952380952380953
GH28.hmm	325	BACDOR_RS19905	494	2.4e-64	6	307	80	449	0.9261538461538461
GH28.hmm	325	BACDOR_RS19920	475	9.7e-64	8	309	47	394	0.9261538461538461
GH106.hmm	824	BACDOR_RS19925	940	0	3	823	19	915	0.9951456310679612
