Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
BACDOR_RS19860	-	GH78(92-591)	GH78_e14	GH78	3
BACDOR_RS19865	-	CE15(44-425)	CE15_e0	CE15	3
BACDOR_RS19870	-	PL11(56-617)	PL11_e1	PL11	3
BACDOR_RS19875	-|-	GH106(37-707)+GH28(734-1068)	GH106_e10+GH28_e7	GH106+GH28	3
BACDOR_RS19880	3.2.1.172:1	GH105(55-374)	GH105_e17	GH105	3
BACDOR_RS19885	-	GH42(49-423)	GH42_e27	GH42	3
BACDOR_RS19890	3.2.1.55:2|3.2.1.55:1|-	GH43_18(67-301)+GH43_34(318-611)+CBM32(679-783)	GH43_e84+GH43_e191+CBM32_e123	CBM32+GH43_18+GH43_34	3
BACDOR_RS19895	3.2.1.23:1	GH2(19-755)	GH2_e125	GH2	3
BACDOR_RS19900	-	CE12(174-379)	CE12_e37	CE12	3
BACDOR_RS19905	3.2.1.173:1	GH28(80-449)	GH28_e139	GH28	3
BACDOR_RS19920	3.2.1.173:1	GH28(47-394)	GH28_e34	GH28	3
BACDOR_RS19925	3.2.1.174:1	GH106(19-915)	GH106_e0	GH106	3
