Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
BACDOR_RS19860	QJR77996.1|GH78	100	593	0	0	1	593	1	593	0.0	1219
BACDOR_RS19865	QJR65246.1|CE15	100	427	0	0	1	427	1	427	0.0	909
BACDOR_RS19870	QJR77998.1|PL11	100	617	0	0	1	617	1	617	0.0	1300
BACDOR_RS19875	QJR77999.1|GH106|GH28	100	1095	0	0	1	1095	1	1095	0.0	2253
BACDOR_RS19880	QJR78000.1|GH105	100	376	0	0	1	376	2	377	7.35e-300	812
BACDOR_RS19885	AND18202.1|GH42	100	704	0	0	1	704	1	704	0.0	1472
BACDOR_RS19890	EEB27135.1|CBM32|GH43_18|GH43_34	100	784	0	0	1	784	1	784	0.0	1647
BACDOR_RS19895	ALA72226.1|GH2	100	955	0	0	1	955	1	955	0.0	2001
BACDOR_RS19900	QJR61091.1|CE12	100	424	0	0	1	424	1	424	0.0	874
BACDOR_RS19905	AII64754.1|GH28	100	494	0	0	1	494	1	494	0.0	1005
BACDOR_RS19920	QJR78008.1|GH28	100	475	0	0	1	475	1	475	0.0	977
BACDOR_RS19925	QJR78009.1|GH106	100	920	0	0	1	920	1	920	0.0	1911
