Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
JM81_RS16420	-	PL1_2(75-266)	PL1_e38	PL1_2	3
JM81_RS16430	-	GH140(31-488)	GH140_e9	GH140	3
JM81_RS16445	3.2.1.55:2|3.2.1.37:1|-	GH43_10(39-308)+CBM91(342-539)	GH43_e0+CBM91_e10	GH43_10	3
JM81_RS16450	-	GH28(80-456)	GH28_e80	GH28	3
JM81_RS16470	3.2.1.-:1	GH105(66-407)	GH105_e41	GH105	3
JM81_RS16475	3.2.1.-:1	GH105(67-413)	GH105_e41	GH105	3
JM81_RS16480	-	GH179(44-194)	GH109_e7	-	2
JM81_RS16485	4.2.2.2:1|-	PL10_1(55-344)+CE8(371-653)	PL10_e13+CE8_e92	CE8+PL10_1	3
JM81_RS16495	-	CE12(23-233)	CE12_e38	CE12	3
JM81_RS16510	3.2.1.55:3|3.2.1.55:3	GH43_19(79-314)+GH43_34(419-706)	GH43_e159+GH43_e159	GH43_19+GH43_34	3
JM81_RS16515	3.2.1.55:27	GH51_1(27-511)	GH51_e19	GH51	3
JM81_RS16600	3.2.1.49:3	GH177(37-344)	GH109_e1	-	2
JM81_RS16425	-	-	-	GH78	1
JM81_RS16435	-	-	-	CE8	1
JM81_RS16440	-	-	-	PL10_1	1
JM81_RS16500	-	-	-	CE8	1
JM81_RS16535	-	-	-	GH43_26	1
JM81_RS16615	-	-	-	GH67	1
