Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
JM81_RS16420	SOE21130.1|PL1_2	68.5	461	144	1	16	476	15	474	1.51e-232	650
JM81_RS16425	ARA92211.1|GH78	50.1	401	177	5	32	416	45	438	1.79e-129	415
JM81_RS16430	SOE21136.1|GH140	65.6	486	164	1	11	493	6	491	3.03e-262	727
JM81_RS16435	QDT03683.1|CE8	63.2	462	160	4	27	485	351	805	4.34e-228	652
JM81_RS16440	QDV61570.1|PL10_1	44.9	392	211	4	37	428	378	764	1.06e-110	348
JM81_RS16445	AXP80136.1|GH43_10	77.6	541	121	0	1	541	1	541	0.0	925
JM81_RS16450	ASO05125.1|GH28	78.0	469	102	1	6	473	8	476	7.85e-283	778
JM81_RS16470	UKM66493.1|GH105	60.9	399	156	0	11	409	12	410	6.98e-195	550
JM81_RS16475	AYN66314.1|GH105	67.3	404	132	0	11	414	9	412	2.67e-215	602
JM81_RS16485	ULC59023.1|CE8|PL10_1	58.3	666	269	4	3	661	5	668	2.89e-290	812
JM81_RS16495	AYN69572.1|CE12	71.6	229	65	0	18	246	18	246	8.96e-119	343
JM81_RS16500	BAV07169.1|CE8	63.1	312	115	0	35	346	13	324	1.40e-135	405
JM81_RS16510	UZR97597.1|GH43_19|GH43_34	69.2	689	212	0	30	718	33	721	0.0	1047
JM81_RS16515	ASV29220.1|GH51	75.1	497	124	0	15	511	20	516	7.04e-289	796
JM81_RS16535	UZJ45781.1|GH43_26	50.1	365	175	6	7	368	367	727	2.09e-112	348
JM81_RS16615	UAJ15154.1|GH67	44.9	392	202	4	9	393	2	386	8.40e-106	340
