HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
PL1_2.hmm	183	JM81_RS16420	478	2e-77	1	183	75	266	0.994535519125683
GH140.hmm	412	JM81_RS16430	495	1.4e-87	1	411	31	488	0.9951456310679612
GH43_10.hmm	271	JM81_RS16445	542	1.5e-109	1	271	39	308	0.996309963099631
CBM91.hmm	200	JM81_RS16445	542	3.4e-23	4	195	342	539	0.955
GH28.hmm	325	JM81_RS16450	473	3.8e-87	6	310	80	456	0.9353846153846154
GH105.hmm	332	JM81_RS16470	409	3.3e-123	6	330	66	407	0.9759036144578314
GH105.hmm	332	JM81_RS16475	414	2.7e-120	6	331	67	413	0.9789156626506024
GH179.hmm	338	JM81_RS16480	347	1.1e-18	30	185	44	194	0.45857988165680474
PL10_1.hmm	288	JM81_RS16485	663	7.9e-115	1	287	55	344	0.9930555555555556
CE8.hmm	288	JM81_RS16485	663	2.1e-98	2	285	371	653	0.9826388888888888
CE12.hmm	210	JM81_RS16495	246	3.4e-76	1	210	23	233	0.9952380952380953
GH43_19.hmm	233	JM81_RS16510	725	5.9e-83	1	233	79	314	0.9957081545064378
GH43_34.hmm	280	JM81_RS16510	725	1.1e-100	1	279	419	706	0.9928571428571429
GH51_1.hmm	472	JM81_RS16515	515	3e-176	4	471	27	511	0.989406779661017
GH177.hmm	347	JM81_RS16600	458	5.1e-23	1	284	37	344	0.8155619596541787
