CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	TC	NZ_VISB01000001	JM81_RS16390	5429	6409	+	2.A.56.1.5
CGC1	TC	NZ_VISB01000001	JM81_RS16395	6414	6872	+	2.A.56.1.5
CGC1	TC	NZ_VISB01000001	JM81_RS16400	6872	8167	+	2.A.56.1.5
CGC1	null	NZ_VISB01000001	JM81_RS16405;Parent	8192	9628	+	null
CGC1	null	NZ_VISB01000001	JM81_RS16410;Parent	9645	11261	+	null
CGC1	TF	NZ_VISB01000001	JM81_RS16415	11277	12299	-	LacI
CGC1	CAZyme	NZ_VISB01000001	JM81_RS16420	12607	14043	-	PL1_2
CGC1	null	NZ_VISB01000001	JM81_RS16425;Parent	14056	15501	-	null
CGC1	CAZyme	NZ_VISB01000001	JM81_RS16430	15543	17030	-	GH140
CGC1	null	NZ_VISB01000001	JM81_RS16435;Parent	17068	18525	-	null
CGC1	null	NZ_VISB01000001	JM81_RS16440;Parent	18538	19839	-	null
CGC1	CAZyme	NZ_VISB01000001	JM81_RS16445	19877	21505	-	GH43_10|CBM91
CGC1	CAZyme	NZ_VISB01000001	JM81_RS16450	21541	22962	-	GH28
CGC1	TC	NZ_VISB01000001	JM81_RS16455	24759	27878	+	1.B.14.6.1
CGC1	TC	NZ_VISB01000001	JM81_RS16460	27889	29544	+	8.A.46.1.6
CGC1	null	NZ_VISB01000001	JM81_RS16465;Parent	29692	30681	+	null
CGC1	CAZyme	NZ_VISB01000001	JM81_RS16470	30689	31918	+	GH105
CGC1	CAZyme	NZ_VISB01000001	JM81_RS16475	31940	33184	+	GH105
CGC1	CAZyme	NZ_VISB01000001	JM81_RS16480	33372	34415	+	GH179
CGC1	CAZyme	NZ_VISB01000001	JM81_RS16485	34471	36462	+	PL10_1|CE8
CGC1	STP	NZ_VISB01000001	JM81_RS16490	36519	37319	+	AraC_binding|AraC_binding
CGC1	CAZyme	NZ_VISB01000001	JM81_RS16495	37345	38085	+	CE12
CGC1	null	NZ_VISB01000001	JM81_RS16500;Parent	38132	39181	+	null
CGC1	STP	NZ_VISB01000001	JM81_RS16505	39188	39880	-	NUDIX
CGC1	CAZyme	NZ_VISB01000001	JM81_RS16510	40087	42264	+	GH43_19|GH43_34
CGC1	CAZyme	NZ_VISB01000001	JM81_RS16515	42269	43816	+	GH51_1
CGC1	null	NZ_VISB01000001	JM81_RS16520;Parent	43927	45600	+	null
CGC1	null	NZ_VISB01000001	JM81_RS16525;Parent	45605	46306	+	null
CGC1	null	NZ_VISB01000001	JM81_RS16530;Parent	46331	47830	+	null
CGC1	null	NZ_VISB01000001	JM81_RS16535;Parent	47925	49031	+	null
CGC1	TC	NZ_VISB01000001	JM81_RS16540	49040	50659	+	2.A.21.3.19
CGC1	null	NZ_VISB01000001	JM81_RS16545;Parent	50814	51632	+	null
CGC1	null	NZ_VISB01000001	JM81_RS16550;Parent	51686	52222	-	null
CGC1	null	NZ_VISB01000001	JM81_RS16555;Parent	52491	52679	+	null
CGC1	TC	NZ_VISB01000001	JM81_RS16560	52743	53576	-	2.A.7.28.11
CGC1	STP	NZ_VISB01000001	JM81_RS16565	53727	55775	-	TPR_1|HisKA|HATPase_c
CGC1	null	NZ_VISB01000001	JM81_RS16570;Parent	56021	57418	-	null
CGC1	null	NZ_VISB01000001	JM81_RS16575;Parent	57482	58411	-	null
CGC1	TF	NZ_VISB01000001	JM81_RS16580	58421	59437	-	LacI
CGC1	TC	NZ_VISB01000001	JM81_RS16585	59693	62764	+	1.B.14.6.1
CGC1	TC	NZ_VISB01000001	JM81_RS16590	62777	64450	+	8.A.46.1.6
CGC1	null	NZ_VISB01000001	JM81_RS16595;Parent	64625	65842	+	null
CGC1	CAZyme	NZ_VISB01000001	JM81_RS16600	65855	67231	+	GH177
CGC1	null	NZ_VISB01000001	JM81_RS16605;Parent	67368	68759	+	null
CGC1	null	NZ_VISB01000001	JM81_RS16610;Parent	68760	69578	+	null
CGC1	null	NZ_VISB01000001	JM81_RS16615;Parent	69664	70860	+	null
CGC1	TC	NZ_VISB01000001	JM81_RS16620	70870	71895	+	2.A.56.1.5
CGC1	TC	NZ_VISB01000001	JM81_RS16625	71895	72368	+	2.A.56.1.5
CGC1	TC	NZ_VISB01000001	JM81_RS16630	72369	73679	+	2.A.56.1.5
